measure,beat,duration,semi_tones,transition,relative_velocity
1,1,0.9,(0),(3),0.7263
1,2,0.4,(0),(0),0.882
1,2.5,0.4,(0),(4),0.882
1,3,1.9,(0),(-7),0.8474
2,1,0.9,(0),(3),0.8993
2,2,0.9,(0),(-1),0.8993
2,3,1.9,(0),(-2),0.9857
3,1,0.9,(0),(3),0.9684
3,2,0.4,(0),(4),0.7263
3,2.5,0.25,(0),(0),0.8301
3,3,0.25,(0),(0),0.7955
3,3.5,0.9,(0),(-4),0.882
3,4.5,0.4,(0),(-1),0.6917
4,1,2.9,(0),(0),0.8993
4,4,0.9,(0),(-2),0.8993
5,1,0.9,(0),(3),0.9512
5,2,0.4,(0),(4),0.9166
5,2.5,0.4,(0),(5),0.8647
5,3,0.25,(0),(0),0.9339
5,3.5,0.4,(0),(-5),1.297
5,4,0.25,(0),(0),0.9166
5,4.5,0.4,(0),(-4),0.8474
6,1,0.25,(0),(0),0.6745
6,1.5,0.4,(0),(4),0.8647
6,2,0.25,(0),(0),1.1587
6,2.5,0.4,(0),(-4),0.8647
6,3,0.25,(0),(0),0.9857
6,3.5,0.4,(0),(-1),0.8647
6,4,0.25,(0),(-2),1.003
6,4.5,0.4,(0),(0),1.176
7,1,2.9,(0),(0),1.1587
7,4,0.9,(0),(0),1.1587
8,1,0.9,(0),(3),1.1587
8,2,0.9,(0),(4),1.1933
8,3,0.9,(0),(0),1.003
8,4,0.9,(0),(0),1.003
9,1,1.9,(0),(-4),1.1587
9,3,1.9,(0),(-1),0.9857
10,1,1.9,(0),(-2),1.0376
10,3,1.9,(0),(3),1.003
11,1,1.9,(0),(4),0.7955
11,3,0.25,(0),(0),0.882
11,3.5,0.25,(0),(0),1.1587
11,4,0.9,(0),(-4),1.0895
12,1,1.9,(0),(-1),1.1241
12,3,1.9,(0),(-2),1.1587
13,1,1.9,(0),(3),1.1414
13,3,1.9,(0),(-1),1.003
14,1,0.25,(0),(0),1.297
14,1.5,0.4,(0),(1),1.003
14,2,1.9,(0),(-1),1.1068
15,1,1.9,(0),(-2),1.0376
15,3,1.9,(0),(-1),1.2279
16,1,0.9,(0),(0),1.0722
16,2,1.9,(0),(1),1.3143
16,4,0.9,(0),(0),1.3143
17,1,3.9,(0),(0),1.2797
