measure,beat,element,duration
1,1,rest,4
2,1,rest,4
3,1,C4,0.9
3,2,Eb4,0.4
3,2.5,D4,0.4
3,3,G4,1.9
4,1,C4,0.9
4,2,Eb4,0.9
4,3,C4,1.9
5,1,C4,0.9
5,2,Eb4,0.4
5,2.5,G4,0.25
5,3,F4,0.25
5,3.5,G4,0.9
5,4.5,Eb4,0.4
6,1,D4,2.9
6,4,C4,0.9
7,1,C4,0.9
7,2,Eb4,0.4
7,2.5,G4,0.4
7,3,C4,0.25
7,3.5,B3,0.4
7,4,G4,0.25
7,4.5,Eb4,0.4
8,1,Eb4,0.25
8,1.5,F4,0.4
8,2,G4,0.25
8,2.5,F4,0.4
8,3,Eb4,0.25
8,3.5,D4,0.4
8,4,C4,0.25
8,4.5,B3,0.4
9,1,B3,2.9
9,4,G3,0.9
10,1,G3,0.9
10,2,Bb3,0.9
10,3,D4,0.9
10,4,G3,0.9
11,1,G3,1.9
11,3,Bb3,1.9
12,1,D4,1.9
12,3,G3,1.9
13,1,Bb3,1.9
13,3,D4,0.25
13,3.5,G4,0.25
13,4,G3,0.9
14,1,Bb3,1.9
14,3,D4,1.9
15,1,G3,1.9
15,3,Bb3,1.9
16,1,D4,0.25
16,1.5,Bb3,0.4
16,2,G3,1.9
17,1,Bb3,1.9
17,3,G3,1.9
18,1,D4,0.9
18,2,B3,1.9
18,4,G3,0.9
19,1,G3,3.9
20,1,G3,0.9
20,2,Bb3,0.4
20,2.5,G3,0.4
20,3,D4,1.9
21,1,G3,0.9
21,2,Bb3,0.9
21,3,G3,1.9
22,1,G3,0.9
22,2,Bb3,0.4
22,2.5,D4,0.25
22,3,Bb3,0.25
22,3.5,D4,0.9
22,4.5,G3,0.4
23,1,A3,2.9
23,4,G3,0.9
24,1,G3,0.9
24,2,Bb3,0.4
24,2.5,D4,0.4
24,3,G3,0.25
24,3.5,A3,0.4
24,4,D4,0.25
24,4.5,G3,0.4
25,1,Bb3,0.25
25,1.5,D4,0.4
25,2,D4,0.25
25,2.5,Bb3,0.4
25,3,G3,0.25
25,3.5,A3,0.4
25,4,G3,0.25
25,4.5,D3,0.4
26,1,G3,2.9
26,4,G3,0.9
27,1,G3,0.9
27,2,Bb3,0.9
27,3,D4,0.9
27,4,G3,0.9
28,1,D4,1.9
28,3,Bb3,1.9
29,1,A3,1.9
29,3,G3,1.9
30,1,Bb3,1.9
30,3,D4,0.25
30,3.5,A3,0.25
30,4,G3,0.9
31,1,Bb3,1.9
31,3,A3,1.9
32,1,G3,1.9
32,3,Bb3,1.9
33,1,A3,0.25
33,1.5,G3,0.4
33,2,Bb3,1.9
34,1,A3,1.9
34,3,G3,1.9
35,1,F#3,0.9
35,2,G3,1.9
35,4,D3,0.9
36,1,G3,3.9
37,1,G3,3.9
37,4,D3,0.9
38,1,D4,0.25
38,1.5,G3,0.4
38,2,Bb3,1.9
39,1,A3,1.9
39,3,G3,1.9
40,1,G3,2.9
40,4,G3,0.9
41,1,G3,0.9
41,2,Bb3,0.4
41,2.5,G3,0.4
41,3,D4,1.9
42,1,G3,0.9
42,2,Bb3,0.9
42,3,G3,1.9
43,1,G3,0.9
43,2,Bb3,0.4
43,2.5,D4,0.25
43,3,Bb3,0.25
43,3.5,D4,0.9
43,4.5,G3,0.4
44,1,A3,2.9
44,4,G3,0.9
45,1,G3,0.9
45,2,Bb3,0.4
45,2.5,D4,0.4
45,3,G3,0.25
45,3.5,A3,0.4
45,4,D4,0.25
45,4.5,G3,0.4
46,1,Bb3,0.25
46,1.5,D4,0.4
46,2,D4,0.25
46,2.5,Bb3,0.4
46,3,G3,0.25
46,3.5,A3,0.4
46,4,G3,0.25
46,4.5,D3,0.4
47,1,G3,2.9
47,4,G3,0.9
48,1,G3,0.9
48,2,Bb3,0.9
48,3,D4,0.9
48,4,G3,0.9
49,1,D4,1.9
49,3,Bb3,1.9
50,1,A3,1.9
50,3,G3,1.9
51,1,Bb3,1.9
51,3,D4,0.25
51,3.5,A3,0.25
51,4,G3,0.9
52,1,Bb3,1.9
52,3,A3,1.9
53,1,G3,1.9
53,3,Bb3,1.9
54,1,A3,0.25
54,1.5,G3,0.4
54,2,Bb3,1.9
55,1,A3,1.9
55,3,G3,1.9
56,1,F#3,0.9
56,2,G3,1.9
56,4,D3,0.9
57,1,G3,3.9
58,1,G3,0.9
58,2,Bb3,0.4
58,2.5,G3,0.4
58,3,D4,1.9
59,1,G3,0.9
59,2,Bb3,0.9
59,3,G3,1.9
60,1,G3,0.9
60,2,Bb3,0.4
60,2.5,D4,0.25
60,3,Bb3,0.25
60,3.5,D4,0.9
60,4.5,G3,0.4
61,1,A3,2.9
61,4,G3,0.9
62,1,G3,0.9
62,2,Bb3,0.4
62,2.5,D4,0.4
62,3,G3,0.25
62,3.5,A3,0.4
62,4,D4,0.25
62,4.5,G3,0.4
63,1,Bb3,0.25
63,1.5,D4,0.4
63,2,D4,0.25
63,2.5,Bb3,0.4
63,3,G3,0.25
63,3.5,A3,0.4
63,4,G3,0.25
63,4.5,D3,0.4
64,1,G3,2.9
64,4,G3,0.9
65,1,G3,0.9
65,2,Bb3,0.9
65,3,D4,0.9
65,4,G3,0.9
66,1,D4,1.9
66,3,Bb3,1.9
67,1,A3,1.9
67,3,G3,1.9
68,1,Bb3,1.9
68,3,D4,0.25
68,3.5,A3,0.25
68,4,G3,0.9
69,1,Bb3,1.9
69,3,A3,1.9
70,1,G3,1.9
70,3,Bb3,1.9
71,1,A3,0.25
71,1.5,G3,0.4
71,2,Bb3,1.9
72,1,A3,1.9
72,3,G3,1.9
73,1,F#3,0.9
73,2,G3,1.9
73,4,D3,0.9
74,1,G3,3.9
75,1,G3,0.9
75,2,Bb3,0.4
75,2.5,G3,0.4
75,3,D4,1.9
76,1,G3,0.9
76,2,Bb3,0.9
76,3,G3,1.9
77,1,G3,0.9
77,2,Bb3,0.4
77,2.5,D4,0.25
77,3,Bb3,0.25
77,3.5,D4,0.9
77,4.5,G3,0.4
78,1,A3,2.9
78,4,G3,0.9
79,1,G3,0.9
79,2,Bb3,0.4
79,2.5,D4,0.4
79,3,G3,0.25
79,3.5,A3,0.4
79,4,D4,0.25
79,4.5,G3,0.4
80,1,Bb3,0.25
80,1.5,D4,0.4
80,2,D4,0.25
80,2.5,Bb3,0.4
80,3,G3,0.25
80,3.5,A3,0.4
80,4,G3,0.25
80,4.5,D3,0.4
81,1,G3,2.9
81,4,G3,0.9
82,1,G3,0.9
82,2,Bb3,0.9
82,3,D4,0.9
82,4,G3,0.9
83,1,D4,1.9
83,3,Bb3,1.9
84,1,A3,1.9
84,3,G3,1.9
85,1,Bb3,1.9
85,3,D4,0.25
85,3.5,A3,0.25
85,4,G3,0.9
86,1,Bb3,1.9
86,3,A3,1.9
87,1,G3,1.9
87,3,Bb3,1.9
88,1,A3,0.25
88,1.5,G3,0.4
88,2,Bb3,1.9
89,1,A3,1.9
89,3,G3,1.9
90,1,F#3,0.9
90,2,G3,1.9
90,4,D3,0.9
91,1,G3,3.9
92,1,G3,0.9
92,2,Bb3,0.4
92,2.5,G3,0.4
92,3,D4,1.9
93,1,G3,0.9
93,2,Bb3,0.9
93,3,G3,1.9
94,1,G3,0.9
94,2,Bb3,0.4
94,2.5,D4,0.25
94,3,Bb3,0.25
94,3.5,D4,0.9
94,4.5,G3,0.4
95,1,A3,2.9
95,4,G3,0.9
96,1,G3,0.9
96,2,Bb3,0.4
96,2.5,D4,0.4
96,3,G3,0.25
96,3.5,A3,0.4
96,4,D4,0.25
96,4.5,G3,0.4
97,1,Bb3,0.25
97,1.5,D4,0.4
97,2,D4,0.25
97,2.5,Bb3,0.4
97,3,G3,0.25
97,3.5,A3,0.4
97,4,G3,0.25
97,4.5,D3,0.4
98,1,G3,2.9
98,4,G3,0.9
99,1,G3,0.9
99,2,Bb3,0.9
99,3,D4,0.9
99,4,G3,0.9
100,1,D4,1.9
100,3,Bb3,1.9
101,1,A3,1.9
101,3,G3,1.9
102,1,Bb3,1.9
102,3,D4,0.25
102,3.5,A3,0.25
102,4,G3,0.9
103,1,Bb3,1.9
103,3,A3,1.9
104,1,G3,1.9
104,3,Bb3,1.9
105,1,A3,0.25
105,1.5,G3,0.4
105,2,Bb3,1.9
106,1,A3,1.9
106,3,G3,1.9
107,1,F#3,0.9
107,2,G3,1.9
107,4,D3,0.9
108,1,G3,3.9
109,1,G3,0.9
109,2,Bb3,0.4
109,2.5,G3,0.4
109,3,D4,1.9
110,1,G3,0.9
110,2,Bb3,0.9
110,3,G3,1.9
111,1,G3,0.9
111,2,Bb3,0.4
111,2.5,D4,0.25
111,3,Bb3,0.25
111,3.5,D4,0.9
111,4.5,G3,0.4
112,1,A3,2.9
112,4,G3,0.9
113,1,G3,0.9
113,2,Bb3,0.4
113,2.5,D4,0.4
113,3,G3,0.25
113,3.5,A3,0.4
113,4,D4,0.25
113,4.5,G3,0.4
114,1,Bb3,0.25
114,1.5,D4,0.4
114,2,D4,0.25
114,2.5,Bb3,0.4
114,3,G3,0.25
114,3.5,A3,0.4
114,4,G3,0.25
114,4.5,D3,0.4
115,1,G3,2.9
115,4,G3,0.9
116,1,G3,0.9
116,2,Bb3,0.9
116,3,D4,0.9
116,4,G3,0.9
117,1,D4,1.9
117,3,Bb3,1.9
118,1,A3,1.9
118,3,G3,1.9
119,1,Bb3,1.9
119,3,D4,0.25
119,3.5,A3,0.25
119,4,G3,0.9
120,1,Bb3,1.9
120,3,A3,1.9
121,1,G3,1.9
121,3,Bb3,1.9
122,1,A3,0.25
122,1.5,G3,0.4
122,2,Bb3,1.9
123,1,A3,1.9
123,3,G3,1.9
124,1,F#3,0.9
124,2,G3,1.9
124,4,D3,0.9
125,1,G3,3.9
126,1,G3,0.9
126,2,Bb3,0.4
126,2.5,G3,0.4
126,3,D4,1.9
127,1,G3,0.9
127,2,Bb3,0.9
127,3,G3,1.9
128,1,G3,0.9
128,2,Bb3,0.4
128,2.5,D4,0.25
128,3,Bb3,0.25
128,3.5,D4,0.9
128,4.5,G3,0.4
129,1,A3,2.9
129,4,G3,0.9
130,1,G3,0.9
130,2,Bb3,0.4
130,2.5,D4,0.4
130,3,G3,0.25
130,3.5,A3,0.4
130,4,D4,0.25
