measure,beat,element,duration
1,1,rest,4
2,1,rest,4
3,1,C4,0.9
3,2,D#4,0.4
3,2.5,D#4,0.4
3,3,G4,1.9
4,1,C4,0.9
4,2,D#4,0.9
4,3,D4,1.9
5,1,C4,0.9
5,2,D#4,0.4
5,2.5,G4,0.25
5,3,G4,0.25
5,3.5,G4,0.9
5,4.5,D#4,0.4
6,1,D4,2.9
6,4,D4,0.9
7,1,C4,0.9
7,2,D#4,0.4
7,2.5,G4,0.4
7,3,C4,0.25
7,3.5,C4,0.4
7,4,G4,0.25
7,4.5,G4,0.4
8,1,D#4,0.25
8,1.5,D#4,0.4
8,2,G4,0.25
8,2.5,G4,0.4
8,3,D#4,0.25
8,3.5,D#4,0.4
8,4,D4,0.25
8,4.5,C4,0.4
9,1,C4,2.9
9,4,C4,0.9
10,1,C4,0.9
10,2,D#4,0.9
10,3,G4,0.9
10,4,G4,0.9
11,1,G4,1.9
11,3,D#4,1.9
12,1,D4,1.9
12,3,C4,1.9
13,1,D#4,1.9
13,3,G4,0.25
13,3.5,G4,0.25
13,4,G4,0.9
14,1,D#4,1.9
14,3,D4,1.9
15,1,C4,1.9
15,3,D#4,1.9
16,1,D4,0.25
16,1.5,D4,0.4
16,2,D#4,1.9
17,1,D4,1.9
17,3,C4,1.9
18,1,B3,0.9
18,2,B3,1.9
18,4,C4,0.9
19,1,C4,3.9
20,1,C4,0.9
20,2,D#4,0.4
20,2.5,D#4,0.4
20,3,G4,1.9
21,1,C4,0.9
21,2,D#4,0.9
21,3,D4,1.9
22,1,C4,0.9
22,2,D#4,0.4
22,2.5,G4,0.25
22,3,G4,0.25
22,3.5,G4,0.9
22,4.5,D#4,0.4
23,1,D4,2.9
23,4,D4,0.9
24,1,C4,0.9
24,2,D#4,0.4
24,2.5,G4,0.4
24,3,C4,0.25
24,3.5,C4,0.4
24,4,G4,0.25
24,4.5,G4,0.4
25,1,D#4,0.25
25,1.5,D#4,0.4
25,2,G4,0.25
25,2.5,G4,0.4
25,3,D#4,0.25
25,3.5,D#4,0.4
25,4,D4,0.25
25,4.5,C4,0.4
26,1,C4,2.9
26,4,C4,0.9
27,1,C4,0.9
27,2,D#4,0.9
27,3,G4,0.9
27,4,G4,0.9
28,1,G4,1.9
28,3,D#4,1.9
29,1,D4,1.9
29,3,C4,1.9
30,1,D#4,1.9
30,3,G4,0.25
30,3.5,G4,0.25
30,4,G4,0.9
31,1,D#4,1.9
31,3,D4,1.9
32,1,C4,1.9
32,3,D#4,1.9
33,1,D4,0.25
33,1.5,D4,0.4
33,2,D#4,1.9
34,1,D4,1.9
34,3,C4,1.9
35,1,B3,0.9
35,2,B3,1.9
35,4,C4,0.9
36,1,C4,3.9
37,1,C4,0.9
37,2,Eb4,0.4
37,2.5,D4,0.4
37,3,G4,1.9
38,1,C4,0.9
38,2,Eb4,0.9
38,3,C4,1.9
39,1,C4,0.9
39,2,Eb4,0.4
39,2.5,G4,0.25
39,3,F4,0.25
39,3.5,G4,0.9
39,4.5,Eb4,0.4
40,1,D4,2.9
40,4,C4,0.9
41,1,C4,0.9
41,2,Eb4,0.4
41,2.5,G4,0.4
41,3,C4,0.25
41,3.5,B3,0.4
41,4,G4,0.25
41,4.5,Eb4,0.4
42,1,Eb4,0.25
42,1.5,F4,0.4
42,2,G4,0.25
42,2.5,F4,0.4
42,3,Eb4,0.25
42,3.5,D4,0.4
42,4,C4,0.25
42,4.5,B3,0.4
43,1,B3,2.9
43,4,G3,0.9
44,1,G3,0.9
44,2,Bb3,0.9
44,3,D4,0.9
44,4,G3,0.9
45,1,G3,1.9
45,3,Bb3,1.9
46,1,D4,1.9
46,3,G3,1.9
47,1,Bb3,1.9
47,3,D4,0.25
47,3.5,G4,0.25
47,4,G3,0.9
48,1,Bb3,1.9
48,3,D4,1.9
49,1,G3,1.9
49,3,Bb3,1.9
50,1,D4,0.25
50,1.5,Bb3,0.4
50,2,G3,1.9
51,1,Bb3,1.9
51,3,G3,1.9
52,1,D4,0.9
52,2,B3,1.9
52,4,G3,0.9
53,1,G3,3.9
54,1,G3,0.9
54,2,Bb3,0.4
54,2.5,G3,0.4
54,3,D4,1.9
55,1,G3,0.9
55,2,Bb3,0.9
55,3,G3,1.9
56,1,G3,0.9
56,2,Bb3,0.4
56,2.5,D4,0.25
56,3,Bb3,0.25
56,3.5,D4,0.9
56,4.5,G3,0.4
57,1,A3,2.9
57,4,G3,0.9
58,1,G3,0.9
58,2,Bb3,0.4
58,2.5,D4,0.4
58,3,G3,0.25
58,3.5,A3,0.4
58,4,D4,0.25
58,4.5,G3,0.4
59,1,Bb3,0.25
59,1.5,D4,0.4
59,2,D4,0.25
59,2.5,Bb3,0.4
59,3,G3,0.25
59,3.5,A3,0.4
59,4,G3,0.25
59,4.5,D3,0.4
60,1,G3,2.9
60,4,G3,0.9
61,1,G3,0.9
61,2,Bb3,0.9
61,3,D4,0.9
61,4,G3,0.9
62,1,D4,1.9
62,3,Bb3,1.9
63,1,A3,1.9
63,3,G3,1.9
64,1,Bb3,1.9
64,3,D4,0.25
64,3.5,A3,0.25
64,4,G3,0.9
65,1,Bb3,1.9
65,3,A3,1.9
66,1,G3,1.9
66,3,Bb3,1.9
67,1,A3,0.25
67,1.5,G3,0.4
67,2,Bb3,1.9
68,1,A3,1.9
68,3,G3,1.9
69,1,F#3,0.9
69,2,G3,1.9
69,4,D3,0.9
70,1,G3,3.9
71,1,G3,0.9
71,2,Bb3,0.4
71,2.5,A3,0.4
71,3,C4,1.9
72,1,G3,0.9
72,2,Bb3,0.9
72,3,F4,1.9
73,1,G3,0.9
73,2,Bb3,0.4
73,2.5,C4,0.25
73,3,D4,0.25
73,3.5,Eb4,0.9
73,4.5,G3,0.4
74,1,A3,2.9
74,4,G3,0.9
75,1,G3,0.9
75,2,Bb3,0.4
75,2.5,C4,0.4
75,3,G3,0.25
75,3.5,Eb4,0.4
75,4,C4,0.25
75,4.5,G3,0.4
76,1,Bb3,0.25
76,1.5,G3,0.4
76,2,C4,0.25
76,2.5,Eb4,0.4
76,3,Bb3,0.25
76,3.5,G3,0.4
76,4,E3,0.25
76,4.5,C4,0.4
77,1,E4,2.9
77,4,C4,0.9
78,1,C4,0.9
78,2,Eb4,0.9
78,3,G4,0.9
78,4,G4,0.9
79,1,G4,1.9
79,3,Eb4,1.9
80,1,F4,1.9
80,3,E4,1.9
81,1,Eb4,1.9
81,3,G4,0.25
81,3.5,Eb4,0.25
81,4,C4,0.9
82,1,Eb4,1.9
82,3,D4,1.9
83,1,C4,1.9
83,3,Eb4,1.9
84,1,D4,0.25
84,1.5,C4,0.4
84,2,Eb4,1.9
85,1,D4,1.9
85,3,C4,1.9
86,1,B3,0.9
86,2,G3,1.9
86,4,C4,0.9
87,1,C4,3.9
88,1,Bb3,0.9
88,2,D4,0.4
88,2.5,Eb4,0.4
88,3,C4,1.9
89,1,Bb3,0.9
89,2,D4,0.9
89,3,G3,1.9
90,1,Bb3,0.9
90,2,D4,0.4
90,2.5,C4,0.25
90,3,D4,0.25
90,3.5,Eb4,0.9
90,4.5,C4,0.4
91,1,G3,2.9
91,4,Eb4,0.9
92,1,Bb3,0.9
92,2,D4,0.4
92,2.5,C4,0.4
92,3,D4,0.25
92,3.5,C4,0.4
92,4,Eb4,0.25
92,4.5,C4,0.4
93,1,D4,0.25
93,1.5,C4,0.4
93,2,Eb4,0.25
93,2.5,D4,0.4
93,3,C4,0.25
93,3.5,Eb3,0.4
93,4,C4,0.25
93,4.5,G3,0.4
94,1,G3,2.9
94,4,C4,0.9
95,1,Eb4,0.9
95,2,G4,0.9
95,3,Eb4,0.9
95,4,C4,0.9
96,1,C4,1.9
96,3,Eb4,1.9
97,1,G3,1.9
97,3,Eb4,1.9
98,1,G4,1.9
98,3,Eb4,0.25
98,3.5,D4,0.25
98,4,C4,0.9
99,1,G4,1.9
99,3,G3,1.9
100,1,Eb4,1.9
100,3,G4,1.9
101,1,F4,0.25
101,1.5,Eb4,0.4
101,2,G4,1.9
102,1,F4,1.9
102,3,Eb4,1.9
103,1,D4,0.9
103,2,G4,1.9
103,4,Eb4,0.9
104,1,C4,3.9
105,1,Eb4,0.9
105,2,G4,0.4
105,2.5,Bb4,0.4
105,3,G4,1.9
106,1,Eb4,0.9
106,2,G4,0.9
106,3,Bb3,1.9
107,1,Eb4,0.9
107,2,G4,0.4
107,2.5,Bb4,0.25
107,3,G4,0.25
107,3.5,F4,0.9
107,4.5,Eb4,0.4
108,1,Bb3,2.9
108,4,Eb4,0.9
109,1,Eb4,0.9
109,2,G4,0.4
109,2.5,Bb4,0.4
109,3,G4,0.25
109,3.5,Eb4,0.4
109,4,Bb4,0.25
109,4.5,G4,0.4
110,1,G4,0.25
110,1.5,Eb4,0.4
110,2,Bb4,0.25
110,2.5,G4,0.4
110,3,Eb4,0.25
110,3.5,D4,0.4
110,4,C4,0.25
110,4.5,Bb3,0.4
111,1,Bb3,2.9
111,4,Bb3,0.9
112,1,Bb3,0.9
112,2,Eb4,0.9
112,3,G4,0.9
112,4,Bb3,0.9
113,1,Bb3,1.9
113,3,Eb4,1.9
114,1,Bb3,1.9
114,3,Eb4,1.9
115,1,G4,1.9
115,3,Bb4,0.25
115,3.5,G4,0.25
115,4,Eb4,0.9
116,1,G4,1.9
116,3,Bb3,1.9
117,1,Eb4,1.9
117,3,Eb4,1.9
118,1,F4,0.25
118,1.5,Eb4,0.4
118,2,Bb3,1.9
119,1,Bb3,1.9
119,3,Eb4,1.9
120,1,G4,0.9
120,2,Bb3,1.9
120,4,Bb3,0.9
121,1,Bb3,3.9
122,1,Bb3,0.9
122,2,D4,0.4
122,2.5,Eb4,0.4
122,3,C4,1.9
123,1,Bb3,0.9
123,2,D4,0.9
123,3,G3,1.9
124,1,Bb3,0.9
124,2,D4,0.4
124,2.5,C4,0.25
124,3,D4,0.25
124,3.5,Eb4,0.9
124,4.5,C4,0.4
125,1,G3,2.9
125,4,Eb4,0.9
126,1,Bb3,0.9
126,2,D4,0.4
126,2.5,C4,0.4
126,3,D4,0.25
126,3.5,C4,0.4
126,4,Eb4,0.25
126,4.5,C4,0.4
127,1,D4,0.25
127,1.5,C4,0.4
127,2,Eb4,0.25
127,2.5,D4,0.4
