measure,element,duration
1,rest,4
2,rest,4
3,E5,1
3,G5,1
3,B5,1
3,E6,1
4,D6,0.5
4,B5,0.5
4,G5,0.5
4,E5,0.5
4,rest,2
5,E5,1
5,G5,1
5,B5,1
5,E6,1
6,D6,0.5
6,B5,0.5
6,G5,0.5
6,E5,0.5
6,D5,0.5
6,C5,0.5
6,B4,0.5
6,G4,0.5
7,G5>D5>B4>G4,1
7,G4,1
8,C5,1
8,E5,1
8,G5,1
8,C6,1
9,B5,0.5
9,G5,0.5
9,E5,0.5
9,D5,0.5
9,C5,0.5
9,B4,0.5
9,A4,0.5
9,G4,0.5
10,C5;G4,1
10,G4,1
11,G4,1
11,B4,1
11,D5,1
11,G5,1
12,F5,0.5
12,D5,0.5
12,B4,0.5
12,A4,0.5
12,A4>C5>D5>E5,1
13,A4,1
14,E5,1
14,G5,1
14,B5,1
14,E6,1
15,C6,0.5
15,A5,0.5
15,F5,0.5
15,D5,0.5
15,C5,0.5
15,B4,0.5
15,A4,0.5
16,E5>C5>A4,1
16,A4,1
17,C5,1
17,E5,1
17,G5,1
17,A5,1
18,F5,0.5
18,D5,0.5
18,C5,0.5
18,B4,0.5
18,A4,0.5
18,G4,0.5
18,E4,0.5
18,A4,0.5
19,C5>A4>G4>E4>A4,1
19,A4,1
20,G4,1
20,B4,1
20,D5,1
20,G5,1
21,F5,0.5
21,D5,0.5
21,B4,0.5
21,A4,0.5
21,A4>C5>D5>E5,1
22,A4,1
23,C5,1
23,E5,1
23,G5,1
23,C6,1
24,B5,0.5
24,G5,0.5
24,E5,0.5
24,D5,0.5
24,C5,0.5
24,B4,0.5
24,A4,0.5
24,G4,0.5
25,C5;G4,1
25,G4,1
26,E5,1
26,G5,1
26,B5,1
26,E6,1
27,D6,0.5
27,B5,0.5
27,G5,0.5
27,E5,0.5
27,rest,2
28,E5,1
28,G5,1
28,B5,1
28,D6,1
29,C6,0.5
29,A5,0.5
29,F5,0.5
29,D5,0.5
29,C5,1
30,E5>C5>A4>F4,1
30,C5,1
31,C5,0.5
31,E5,0.5
31,G5,0.5
31,C6,0.5
31,B5,0.5
31,G5,0.5
31,E5,0.5
31,C5,0.5
32,C5>E5>G5>C6>G5>E5>C5,1
33,E5,1
33,G5,1
33,B5,1
33,C6,1
34,A5,0.5
34,F5,0.5
34,D5,0.5
34,C5,0.5
34,rest,1
35,E5;C5,1
35,C5,1
36,C5,1
36,E5,1
36,G5,1
36,C6,1
37,B5,0.5
37,G5,0.5
37,E5,0.5
37,D5,0.5
37,C5,0.5
37,B4,0.5
37,A4,0.5
37,G4,0.5
38,C5;G4,1
38,G4,1
39,G4,1
39,B4,1
39,D5,1
39,G5,1
40,F5,0.5
40,D5,0.5
40,B4,0.5
40,A4,0.5
40,A4>C5>D5>E5,1
41,A4,1
42,C5,1
42,E5,1
42,G5,1
42,A5,1
43,F5,0.5
43,D5,0.5
43,C5,0.5
43,B4,0.5
43,A4,0.5
43,G4,0.5
43,E4,0.5
43,A4,0.5
44,C5>A4>G4>E4>A4,1
44,A4,1
45,E5,1
45,G5,1
45,B5,1
45,E6,1
46,D6,0.5
46,B5,0.5
46,G5,0.5
46,E5,0.5
46,rest,2
47,E5,1
47,G5,1
47,B5,1
47,E6,1
48,D6,0.5
48,B5,0.5
48,G5,0.5
48,E5,0.5
48,D5,0.5
48,C5,0.5
48,B4,0.5
48,G4,0.5
49,G5>D5>B4>G4,1
49,G4,1
50,C5,1
50,E5,1
50,G5,1
50,C6,1
51,B5,0.5
51,G5,0.5
51,E5,0.5
51,D5,0.5
51,C5,0.5
51,B4,0.5
51,A4,0.5
51,G4,0.5
52,C5;G4,1
52,G4,1
53,G4,1
53,B4,1
53,D5,1
53,G5,1
54,F5,0.5
54,D5,0.5
54,B4,0.5
54,A4,0.5
54,A4>C5>D5>E5,1
55,A4,1
56,E5,1
56,G5,1
56,B5,1
56,E6,1
57,C6,0.5
57,A5,0.5
57,F5,0.5
57,D5,0.5
57,C5,0.5
57,B4,0.5
57,A4,0.5
58,E5>C5>A4,1
58,A4,1
59,C5,1
59,E5,1
59,G5,1
59,A5,1
60,F5,0.5
60,D5,0.5
60,C5,0.5
60,B4,0.5
60,A4,0.5
60,G4,0.5
60,E4,0.5
60,A4,0.5
61,C5>A4>G4>E4>A4,1
61,A4,1
62,G4,1
62,B4,1
62,D5,1
62,G5,1
63,F5,0.5
63,D5,0.5
63,B4,0.5
63,A4,0.5
63,A4>C5>D5>E5,1
64,A4,1
65,C5,1
65,E5,1
65,G5,1
65,C6,1
66,B5,0.5
66,G5,0.5
66,E5,0.5
66,D5,0.5
66,C5,0.5
66,B4,0.5
66,A4,0.5
66,G4,0.5
67,C5;G4,1
67,G4,1
68,E5,1
68,G5,1
68,B5,1
68,E6,1
69,D6,0.5
69,B5,0.5
69,G5,0.5
69,E5,0.5
69,rest,2
70,E5,1
70,G5,1
70,B5,1
70,D6,1
71,C6,0.5
71,A5,0.5
71,F5,0.5
71,D5,0.5
71,C5,1
72,E5>C5>A4>F4,1
72,C5,1
73,C5,0.5
73,E5,0.5
73,G5,0.5
73,C6,0.5
