measure,beat,pitch,duration,velocity,tie,articulation
121,1,G3,1.9,90,,
121,3,Bb3,1.9,90,,
122,1,A3,0.25,90,,
122,1.5,G3,0.4,90,,
122,2,Bb3,1.9,90,,
123,1,A3,1.9,90,,
123,3,G3,1.9,90,,
124,1,F#3,0.9,90,,
124,2,G3,1.9,90,,
124,4,D3,0.9,90,,
125,1,G3,3.9,90,,
126,1,G3,0.9,90,,
126,2,Bb3,0.4,90,,
126,2.5,G3,0.4,90,,
126,3,D4,1.9,90,,
127,1,G3,0.9,90,,
127,2,Bb3,0.9,90,,
127,3,G3,1.9,90,,
128,1,G3,0.9,90,,
128,2,Bb3,0.4,90,,
128,2.5,D4,0.25,90,,
128,3,Bb3,0.25,90,,
128,3.5,D4,0.9,90,,
128,4.5,G3,0.4,90,,
129,1,A3,2.9,90,,
129,4,G3,0.9,90,,
130,1,G3,0.9,90,,
130,2,Bb3,0.4,90,,
130,2.5,D4,0.4,90,,
130,3,G3,0.25,90,,
130,3.5,A3,0.4,90,,
130,4,D4,0.25,90,,
130,4.5,G3,0.4,90,,
