measure,beat,pitch,duration,velocity,tie,articulation
1,1,rest,4,80,,
2,1,rest,4,80,,
3,1,C4,0.9,96,,legato
3,2,D#4,0.4,96,,staccato
3,2.5,D#4,0.4,96,,staccato
3,3,G4,1.9,100,,legato
4,1,C4,0.9,96,,legato
4,2,D#4,0.9,96,,legato
4,3,D4,1.9,96,,legato
5,1,C4,0.9,96,,legato
5,2,D#4,0.4,96,,staccato
5,2.5,G4,0.25,96,,staccato
5,3,G4,0.25,96,,staccato
5,3.5,G4,0.9,100,,legato
5,4.5,D#4,0.4,96,,staccato
6,1,D4,2.9,100,,legato
6,4,D4,0.9,96,,legato
7,1,C4,0.9,96,,legato
7,2,D#4,0.4,96,,staccato
7,2.5,G4,0.4,96,,staccato
7,3,C4,0.25,96,,staccato
7,3.5,C4,0.4,96,,staccato
7,4,G4,0.25,96,,staccato
7,4.5,G4,0.4,96,,staccato
8,1,D#4,0.25,96,,staccato
8,1.5,D#4,0.4,96,,staccato
8,2,G4,0.25,96,,staccato
8,2.5,G4,0.4,96,,staccato
8,3,D#4,0.25,96,,staccato
8,3.5,D#4,0.4,96,,staccato
8,4,D4,0.25,96,,staccato
8,4.5,C4,0.4,96,,staccato
9,1,C4,2.9,100,,legato
9,4,C4,0.9,96,,legato
10,1,C4,0.9,96,,legato
10,2,D#4,0.9,96,,legato
10,3,G4,0.9,100,,legato
10,4,G4,0.9,100,,legato
11,1,G4,1.9,96,,legato
11,3,D#4,1.9,96,,legato
12,1,D4,1.9,96,,legato
12,3,C4,1.9,96,,legato
13,1,D#4,1.9,96,,legato
13,3,G4,0.25,96,,staccato
13,3.5,G4,0.25,96,,staccato
13,4,G4,0.9,100,,legato
14,1,D#4,1.9,96,,legato
14,3,D4,1.9,96,,legato
15,1,C4,1.9,96,,legato
15,3,D#4,1.9,96,,legato
16,1,D4,0.25,96,,staccato
16,1.5,D4,0.4,96,,staccato
16,2,D#4,1.9,96,,legato
17,1,D4,1.9,96,,legato
17,3,C4,1.9,96,,legato
18,1,B3,0.9,96,,legato
18,2,B3,1.9,96,,legato
18,4,C4,0.9,96,,legato
