measure,beat,pitch,duration,velocity,tie,articulation
81,1,Eb4,1.9,96,,
81,3,G4,0.25,96,,
81,3.5,Eb4,0.25,96,,
81,4,C4,0.9,96,,
82,1,Eb4,1.9,96,,
82,3,D4,1.9,96,,
83,1,C4,1.9,96,,
83,3,Eb4,1.9,96,,
84,1,D4,0.25,96,,
84,1.5,C4,0.4,96,,
84,2,Eb4,1.9,96,,
85,1,D4,1.9,96,,
85,3,C4,1.9,96,,
86,1,B3,0.9,96,,
86,2,G3,1.9,96,,
86,4,C4,0.9,96,,
87,1,C4,3.9,96,,
88,1,Bb3,0.9,96,,
88,2,D4,0.4,96,,
88,2.5,Eb4,0.4,96,,
88,3,C4,1.9,96,,
89,1,Bb3,0.9,96,,
89,2,D4,0.9,96,,
89,3,G3,1.9,96,,
90,1,Bb3,0.9,96,,
90,2,D4,0.4,96,,
90,2.5,C4,0.25,96,,
90,3,D4,0.25,96,,
90,3.5,Eb4,0.9,96,,
90,4.5,C4,0.4,96,,
