measure,beat,pitch,duration,velocity,tie,articulation
41,1,C4,0.9,90,,
41,2,Eb4,0.4,90,,
41,2.5,G4,0.4,90,,
41,3,C4,0.25,90,,
41,3.5,B3,0.4,90,,
41,4,G4,0.25,90,,
41,4.5,Eb4,0.4,90,,
42,1,Eb4,0.25,90,,
42,1.5,F4,0.4,90,,
42,2,G4,0.25,90,,
42,2.5,F4,0.4,90,,
42,3,Eb4,0.25,90,,
42,3.5,D4,0.4,90,,
42,4,C4,0.25,90,,
42,4.5,B3,0.4,90,,
43,1,B3,2.9,90,,
43,4,G3,0.9,90,,
44,1,G3,0.9,90,,
44,2,Bb3,0.9,90,,
44,3,D4,0.9,90,,
44,4,G3,0.9,90,,
45,1,G3,1.9,90,,
45,3,Bb3,1.9,90,,
46,1,D4,1.9,90,,
46,3,G3,1.9,90,,
47,1,Bb3,1.9,90,,
47,3,D4,0.25,90,,
47,3.5,G4,0.25,90,,
47,4,G3,0.9,90,,
48,1,Bb3,1.9,90,,
48,3,D4,1.9,90,,
49,1,G3,1.9,90,,
49,3,Bb3,1.9,90,,
50,1,D4,0.25,90,,
50,1.5,Bb3,0.4,90,,
50,2,G3,1.9,90,,
