measure,beat,pitch,duration,velocity,tie,articulation
31,1,Bb1,1.9,100,,tenuto
31,3,G1,1.9,100,,tenuto
32,1,G1,1.9,100,,tenuto
32,3,Bb1,1.9,100,,tenuto
33,1,A1,0.25,100,,tenuto
33,1.5,G1,0.4,100,,tenuto
33,2,Bb1,1.9,100,,tenuto
34,1,A1,1.9,100,,tenuto
34,3,G1,1.9,100,,tenuto
35,1,D2,0.9,100,,tenuto
35,2,G1,1.9,100,,tenuto
35,4,D2,0.9,100,,tenuto
36,1,G1,3.9,100,,tenuto
37,1,G1,3.9,100,,tenuto
37,4,D2,0.9,100,,tenuto
38,1,D2,0.25,100,,tenuto
38,1.5,G1,0.4,100,,tenuto
38,2,Bb1,1.9,100,,tenuto
39,1,A1,1.9,100,,tenuto
39,3,G1,1.9,100,,tenuto
40,1,G1,2.9,100,,tenuto
40,4,G1,0.9,100,,tenuto
