measure,beat,pitch,duration,velocity,tie,articulation
1,1,C2,1,100,,tenuto
1,2,G2,1,100,,tenuto
1,3,C2,1,100,,tenuto
1,4,Eb2,1,100,,tenuto
2,1,C2,1,100,,tenuto
2,2,G2,1,100,,tenuto
2,3,C2,1,100,,tenuto
2,4,F2,1,100,,tenuto
3,1,C2,1,100,,tenuto
3,2,Eb2,0.5,98,,tenuto
3,2.5,Eb2,0.5,98,,tenuto
3,3,G2,1,102,,tenuto
3,4,C2,1,100,,tenuto
4,1,C2,0.9,100,,legato
4,2,Eb2,0.9,98,,legato
4,3,D2,1.9,100,,legato
5,1,C2,0.9,100,,legato
5,2,Eb2,0.4,98,,staccato
5,2.5,G2,0.25,102,,staccato
5,3,G2,0.25,102,,staccato
5,3.5,G2,0.9,104,,legato
5,4.5,Eb2,0.4,98,,staccato
6,1,D2,2.9,100,,legato
6,4,D2,0.9,98,,legato
7,1,C2,0.9,100,,legato
7,2,Eb2,0.4,98,,staccato
7,2.5,G2,0.4,102,,staccato
7,3,C2,0.25,100,,staccato
7,3.5,C2,0.4,100,,staccato
7,4,G2,0.25,102,,staccato
7,4.5,G2,0.4,102,,staccato
8,1,Eb2,0.25,98,,staccato
8,1.5,Eb2,0.4,98,,staccato
8,2,G2,0.25,102,,staccato
8,2.5,G2,0.4,102,,staccato
8,3,Eb2,0.25,98,,staccato
8,3.5,Eb2,0.4,98,,staccato
8,4,D2,0.25,100,,staccato
8,4.5,C2,0.4,100,,staccato
9,1,C2,2.9,104,,legato
9,4,C2,0.9,100,,legato
10,1,C2,0.9,100,,legato
10,2,Eb2,0.9,98,,legato
10,3,G2,0.9,102,,legato
10,4,G2,0.9,102,,legato
11,1,G2,1.9,100,,legato
11,3,Eb2,1.9,100,,legato
12,1,D2,1.9,100,,legato
12,3,C2,1.9,100,,legato
13,1,Eb2,1.9,100,,legato
13,3,G2,0.25,98,,staccato
13,3.5,G2,0.25,98,,staccato
13,4,G2,0.9,100,,legato
14,1,Eb2,1.9,100,,legato
14,3,D2,1.9,100,,legato
15,1,C2,1.9,100,,legato
15,3,Eb2,1.9,100,,legato
16,1,D2,0.25,98,,staccato
16,1.5,D2,0.4,98,,staccato
16,2,Eb2,1.9,100,,legato
17,1,D2,1.9,100,,legato
17,3,C2,1.9,100,,legato
18,1,B1,0.9,96,,legato
18,2,B1,1.9,96,,legato
18,4,C2,0.9,100,,legato
19,1,C2,3.9,100,,legato
20,1,C2,0.9,100,,legato
20,2,Eb2,0.4,98,,staccato
20,2.5,Eb2,0.4,98,,staccato
20,3,G2,1.9,100,,legato
21,1,C2,0.9,100,,legato
21,2,Eb2,0.9,100,,legato
21,3,D2,1.9,100,,legato
22,1,C2,0.9,100,,legato
22,2,Eb2,0.4,100,,staccato
22,2.5,G2,0.25,100,,staccato
22,3,G2,0.25,100,,staccato
22,3.5,G2,0.9,100,,legato
22,4.5,Eb2,0.4,100,,staccato
23,1,D2,2.9,100,,legato
23,4,D2,0.9,100,,legato
24,1,C2,0.9,100,,legato
24,2,Eb2,0.4,100,,staccato
24,2.5,G2,0.4,100,,staccato
24,3,C2,0.25,100,,staccato
24,3.5,C2,0.4,100,,staccato
24,4,G2,0.25,100,,staccato
24,4.5,G2,0.4,100,,staccato
25,1,Eb2,0.25,100,,staccato
25,1.5,Eb2,0.4,100,,staccato
25,2,G2,0.25,100,,staccato
25,2.5,G2,0.4,100,,staccato
25,3,Eb2,0.25,100,,staccato
25,3.5,Eb2,0.4,100,,staccato
25,4,D2,0.25,100,,staccato
25,4.5,C2,0.4,100,,staccato
26,1,C2,2.9,100,,legato
26,4,C2,0.9,100,,legato
27,1,C2,0.9,100,,legato
27,2,Eb2,0.9,100,,legato
27,3,G2,0.9,100,,legato
27,4,G2,0.9,100,,legato
28,1,G2,1.9,100,,legato
28,3,Eb2,1.9,100,,legato
29,1,D2,1.9,100,,legato
29,3,C2,1.9,100,,legato
30,1,Eb2,1.9,100,,legato
30,3,G2,0.25,100,,staccato
30,3.5,G2,0.25,100,,staccato
30,4,G2,0.9,100,,legato
31,1,D#2,1.9,100,,legato
31,3,D2,1.9,100,,legato
32,1,C2,1.9,100,,legato
32,3,D#2,1.9,100,,legato
33,1,D2,0.25,100,,staccato
33,1.5,D2,0.4,100,,staccato
33,2,D#2,1.9,100,,legato
34,1,D2,1.9,100,,legato
34,3,C2,1.9,100,,legato
35,1,B1,0.9,100,,legato
35,2,B1,1.9,100,,legato
35,4,C2,0.9,100,,legato
36,1,C2,3.9,100,,legato
37,1,C2,0.9,100,,legato
37,2,Eb2,0.4,100,,staccato
37,2.5,D2,0.4,100,,staccato
37,3,G2,1.9,100,,legato
38,1,C2,0.9,100,,legato
38,2,Eb2,0.9,100,,legato
38,3,C2,1.9,100,,legato
39,1,C2,0.9,100,,legato
39,2,Eb2,0.4,100,,staccato
39,2.5,G2,0.25,100,,staccato
39,3,F2,0.25,100,,staccato
39,3.5,G2,0.9,100,,legato
39,4.5,Eb2,0.4,100,,staccato
40,1,D2,2.9,100,,legato
40,4,C2,0.9,100,,legato
41,1,C2,0.5,100,,legato
41,1.5,G2,0.5,100,,staccato
41,2,Eb2,0.5,100,,staccato
41,2.5,G2,0.5,100,,staccato
41,3,C2,0.5,100,,staccato
41,3.5,Bb1,0.5,100,,staccato
41,4,G2,0.5,100,,staccato
