measure,beat,pitch,duration,velocity,tie,articulation
61,1,Eb2,1,100,,
61,2,G1,0.5,100,,
61,2.5,Bb1,0.5,100,,
61,3,Eb2,1,100,,
61,4,D2,1,100,,
62,1,Bb1,1,100,,
62,2,G1,0.5,100,,
62,2.5,Bb1,0.5,100,,
62,3,G1,1,100,,
62,4,Bb1,1,100,,
63,1,F2,1,100,,
63,2,G1,0.5,100,,
63,2.5,F2,0.5,100,,
63,3,Eb2,1,100,,
63,4,Bb1,1,100,,
64,1,G1,1,100,,
64,2,Bb1,0.5,100,,
64,2.5,G1,0.5,100,,
64,3,Bb1,1,100,,
64,4,Eb2,1,100,,
65,1,G1,1,100,,
65,2,Bb1,0.5,100,,
65,2.5,G1,0.5,100,,
65,3,G1,1,100,,
65,4,D2,1,100,,
66,1,Eb2,1,100,,
66,2,G1,0.5,100,,
66,2.5,Bb1,0.5,100,,
66,3,G1,1,100,,
66,4,Eb2,1,100,,
67,1,F2,0.5,100,,
67,1.5,G1,0.5,100,,
67,2,Bb1,1,100,,
67,3,C2,1,100,,
67,4,G1,1,100,,
68,1,F2,1,100,,
68,2,G1,0.5,100,,
68,2.5,F2,0.5,100,,
68,3,G1,1,100,,
68,4,Eb2,1,100,,
69,1,D2,1,100,,
69,2,Eb2,0.5,100,,
69,2.5,G1,0.5,100,,
69,3,C2,1,100,,
69,4,Bb1,1,100,,
70,1,Eb2,1.5,100,,
70,2.5,G1,1.5,100,,
70,4,G1,1,100,,
