measure,beat,pitch,duration,velocity,tie,articulation
1,1,C2,0.25,100,,tenuto
1,1.5,G2,0.25,95,,
1,1.75,C2,0.25,95,,
1,2,C2,0.25,100,,
1,2.5,G2,0.25,95,,
1,3,C2,0.25,100,,
1,3.5,G2,0.25,95,,
1,3.75,C2,0.25,95,,
2,1,C2,0.25,100,,
2,1.5,G2,0.25,95,,
2,1.75,C2,0.25,95,,
2,2,Eb2,0.25,100,,
2,2.5,G2,0.25,95,,
2,3,C2,0.25,100,,
2,3.5,G2,0.25,95,,
2,3.75,C2,0.25,95,,
3,1,C2,0.25,105,,
3,1.5,G2,0.25,100,,
3,1.75,C2,0.25,100,,
3,2,Eb2,0.25,105,,
3,2.5,G2,0.25,100,,
3,3,G2,0.25,105,,
3,3.5,C2,0.25,100,,
3,3.75,G2,0.25,100,,
4,1,C2,0.25,105,,
4,1.5,G2,0.25,100,,
4,1.75,C2,0.25,100,,
4,2,Eb2,0.25,105,,
4,2.5,Bb1,0.25,95,,
4,3,Bb1,0.25,105,,
4,3.5,G2,0.25,100,,
4,3.75,C2,0.25,100,,
5,1,C2,0.25,105,,
5,1.5,G2,0.25,100,,
5,1.75,C2,0.25,100,,
5,2,Eb2,0.25,105,,
5,2.5,G2,0.25,100,,
5,3,G2,0.25,105,,
5,3.5,C2,0.25,100,,
5,3.75,G2,0.25,100,,
6,1,Bb1,0.25,100,,
6,1.5,F2,0.25,95,,
6,1.75,Bb1,0.25,95,,
6,2,Eb2,0.25,100,,
6,2.5,G2,0.25,95,,
6,3,C2,0.25,100,,
6,3.5,G2,0.25,95,,
6,3.75,C2,0.25,95,,
7,1,C2,0.25,105,,
7,1.5,G2,0.25,100,,
7,1.75,C2,0.25,100,,
7,2,Eb2,0.25,105,,
7,2.5,G2,0.25,100,,
7,3,C2,0.25,105,,
7,3.5,G2,0.25,100,,
7,3.75,C2,0.25,100,,
8,1,Eb2,0.25,105,,
8,1.5,G2,0.25,100,,
8,1.75,Eb2,0.25,100,,
8,2,G2,0.25,105,,
8,2.5,C2,0.25,100,,
8,3,Eb2,0.25,105,,
8,3.5,G2,0.25,100,,
8,3.75,C2,0.25,100,,
9,1,C2,0.25,110,,
9,1.5,G2,0.25,105,,
9,1.75,C2,0.25,105,,
9,2,C2,0.25,110,,
9,2.5,G2,0.25,105,,
9,3,C2,0.25,110,,
9,3.5,G2,0.25,105,,
9,3.75,C2,0.25,105,,
10,1,C2,0.25,110,,
10,1.5,Eb2,0.25,105,,
10,1.75,C2,0.25,105,,
10,2,G2,0.25,110,,
10,2.5,C2,0.25,105,,
10,3,C2,0.25,110,,
10,3.5,G2,0.25,105,,
10,3.75,C2,0.25,105,,
11,1,C2,0.25,100,,tenuto
11,1.5,G2,0.25,95,,
11,1.75,C2,0.25,95,,
11,2,Eb2,0.25,100,,
11,2.5,G2,0.25,95,,
11,3,C2,0.25,100,,
11,3.5,G2,0.25,95,,
11,3.75,Eb2,0.25,95,,
12,1,C2,0.25,100,,
12,1.5,G2,0.25,95,,
12,1.75,C2,0.25,95,,
12,2,D2,0.25,100,,
12,2.5,G2,0.25,95,,
12,3,C2,0.25,100,,
12,3.5,G2,0.25,95,,
12,3.75,D2,0.25,95,,
13,1,C2,0.25,100,,
13,1.5,G2,0.25,95,,
13,1.75,Eb2,0.25,95,,
13,2,Eb2,0.25,100,,
13,2.5,D2,0.25,95,,
13,3,C2,0.25,100,,
13,3.5,G2,0.25,95,,
13,3.75,Eb2,0.25,95,,
14,1,C2,0.25,100,,
14,1.5,Eb2,0.25,95,,
14,1.75,G2,0.25,95,,
14,2,D2,0.25,100,,
14,2.5,G2,0.25,95,,
14,3,C2,0.25,100,,
14,3.5,G2,0.25,95,,
14,3.75,D2,0.25,95,,
15,1,C2,0.25,100,,
15,1.5,G2,0.25,95,,
15,1.75,C2,0.25,95,,
15,2,Eb2,0.25,100,,
15,2.5,D2,0.25,95,,
15,3,C2,0.25,100,,
15,3.5,G2,0.25,95,,
15,3.75,Eb2,0.25,95,,
16,1,C2,0.25,100,,
16,1.5,D2,0.25,95,,
16,1.75,C2,0.25,95,,
16,2,Eb2,0.25,100,,
16,2.5,G2,0.25,95,,
16,3,C2,0.25,100,,
16,3.5,G2,0.25,95,,
16,3.75,Eb2,0.25,95,,
17,1,C2,0.25,100,,
17,1.5,G2,0.25,95,,
17,1.75,C2,0.25,95,,
17,2,D2,0.25,100,,
17,2.5,G2,0.25,95,,
17,3,C2,0.25,100,,
17,3.5,G2,0.25,95,,
17,3.75,C2,0.25,95,,
18,1,B1,0.25,98,,
18,1.5,G2,0.25,95,,
18,1.75,B1,0.25,95,,
18,2,B1,0.25,100,,
18,2.5,G2,0.25,95,,
18,3,C2,0.25,100,,
18,3.5,G2,0.25,95,,
18,3.75,D2,0.25,95,,
19,1,C2,0.25,100,,
19,1.5,G2,0.25,95,,
19,1.75,C2,0.25,95,,
19,2,Eb2,0.25,100,,
19,2.5,D2,0.25,95,,
19,3,C2,0.25,100,,
19,3.5,G2,0.25,95,,
19,3.75,Eb2,0.25,95,,
20,1,C2,0.25,100,,
20,1.5,G2,0.25,95,,
20,1.75,C2,0.25,95,,
20,2,Eb2,0.25,100,,
20,2.5,Eb2,0.25,95,,
20,3,G2,0.25,100,,
20,3.5,G2,0.25,95,,
20,3.75,C2,0.25,95,,
21,1,C2,0.25,100,,tenuto
21,1.5,G2,0.25,95,,
21,1.75,C2,0.25,95,,
21,2,Eb2,0.25,100,,
21,2.5,G2,0.25,95,,
21,3,C2,0.25,100,,
21,3.5,G2,0.25,95,,
21,3.75,Eb2,0.25,95,,
22,1,C2,0.25,100,,tenuto
22,1.5,G2,0.25,95,,
22,1.75,C2,0.25,95,,
22,2,D2,0.25,100,,
22,2.5,G2,0.25,95,,
22,3,C2,0.25,100,,
22,3.5,G2,0.25,95,,
22,3.75,D2,0.25,95,,
23,1,C2,0.25,100,,tenuto
23,1.5,G2,0.25,95,,
23,1.75,Eb2,0.25,95,,
23,2,Eb2,0.25,100,,
23,2.5,D2,0.25,95,,
23,3,C2,0.25,100,,
23,3.5,G2,0.25,95,,
23,3.75,Eb2,0.25,95,,
24,1,C2,0.25,100,,tenuto
24,1.5,Eb2,0.25,95,,
24,1.75,G2,0.25,95,,
24,2,D2,0.25,100,,
24,2.5,G2,0.25,95,,
24,3,C2,0.25,100,,
24,3.5,G2,0.25,95,,
24,3.75,D2,0.25,95,,
25,1,C2,0.25,100,,tenuto
25,1.5,G2,0.25,95,,
25,1.75,C2,0.25,95,,
25,2,Eb2,0.25,100,,
25,2.5,D2,0.25,95,,
25,3,C2,0.25,100,,
25,3.5,G2,0.25,95,,
25,3.75,Eb2,0.25,95,,
26,1,C2,0.25,100,,tenuto
26,1.5,D2,0.25,95,,
26,1.75,C2,0.25,95,,
26,2,Eb2,0.25,100,,
26,2.5,G2,0.25,95,,
26,3,C2,0.25,100,,
26,3.5,G2,0.25,95,,
26,3.75,Eb2,0.25,95,,
27,1,C2,0.25,100,,tenuto
27,1.5,G2,0.25,95,,
27,1.75,C2,0.25,95,,
27,2,D2,0.25,100,,
27,2.5,G2,0.25,95,,
27,3,C2,0.25,100,,
27,3.5,G2,0.25,95,,
27,3.75,G2,0.25,95,,
28,1,C2,0.25,100,,tenuto
28,1.5,Eb2,0.25,95,,
28,1.75,G2,0.25,95,,
28,2,D2,0.25,100,,
28,2.5,G2,0.25,95,,
28,3,C2,0.25,100,,
28,3.5,G2,0.25,95,,
28,3.75,D2,0.25,95,,
29,1,C2,0.25,100,,tenuto
29,1.5,G2,0.25,95,,
29,1.75,C2,0.25,95,,
29,2,Eb2,0.25,100,,
29,2.5,D2,0.25,95,,
29,3,C2,0.25,100,,
29,3.5,G2,0.25,95,,
29,3.75,Eb2,0.25,95,,
30,1,C2,0.25,100,,tenuto
30,1.5,G2,0.25,95,,
30,1.75,C2,0.25,95,,
30,2,Eb2,0.25,100,,
30,2.5,G2,0.25,95,,
30,3,C2,0.25,100,,
30,3.5,G2,0.25,95,,
30,3.75,G2,0.25,95,,
31,1,Eb2,0.25,100,,tenuto
31,1.5,Bb2,0.25,95,,
31,1.75,Eb2,0.25,95,,
31,2,D2,0.25,100,,
31,2.5,Bb2,0.25,95,,
31,3,Eb2,0.25,100,,
31,3.5,Bb2,0.25,95,,
31,3.75,D2,0.25,95,,
32,1,C2,0.25,100,,tenuto
32,1.5,G2,0.25,95,,
32,1.75,C2,0.25,95,,
32,2,D2,0.25,100,,
32,2.5,G2,0.25,95,,
32,3,C2,0.25,100,,
32,3.5,G2,0.25,95,,
32,3.75,C2,0.25,95,,
33,1,D2,0.25,100,,tenuto
33,1.5,A2,0.25,95,,
33,1.75,D2,0.25,95,,
33,2,Eb2,0.25,100,,
33,2.5,A2,0.25,95,,
33,3,D2,0.25,100,,
33,3.5,A2,0.25,95,,
33,3.75,Eb2,0.25,95,,
34,1,D2,0.25,100,,tenuto
34,1.5,A2,0.25,95,,
34,1.75,Eb2,0.25,95,,
34,2,D2,0.25,100,,
34,2.5,A2,0.25,95,,
34,3,D2,0.25,100,,
34,3.5,A2,0.25,95,,
34,3.75,D2,0.25,95,,
35,1,D2,0.25,100,,tenuto
35,1.5,A2,0.25,95,,
35,1.75,Eb2,0.25,95,,
35,2,D2,0.25,100,,
35,2.5,A2,0.25,95,,
35,3,D2,0.25,100,,
35,3.5,A2,0.25,95,,
35,3.75,Eb2,0.25,95,,
36,1,C2,0.25,100,,tenuto
36,1.5,G2,0.25,95,,
36,1.75,C2,0.25,95,,
36,2,Eb2,0.25,100,,
36,2.5,G2,0.25,95,,
36,3,C2,0.25,100,,
36,3.5,G2,0.25,95,,
36,3.75,C2,0.25,95,,
37,1,C2,0.25,100,,tenuto
37,1.5,G2,0.25,95,,
37,1.75,C2,0.25,95,,
37,2,Eb2,0.25,100,,
37,2.5,G2,0.25,95,,
37,3,C2,0.25,100,,
37,3.5,G2,0.25,95,,
37,3.75,C2,0.25,95,,
38,1,C2,0.25,100,,tenuto
38,1.5,G2,0.25,95,,
38,1.75,C2,0.25,95,,
38,2,Eb2,0.25,100,,
38,2.5,G2,0.25,95,,
38,3,C2,0.25,100,,
38,3.5,G2,0.25,95,,
38,3.75,D2,0.25,95,,
39,1,C2,0.25,100,,tenuto
39,1.5,G2,0.25,95,,
39,1.75,Eb2,0.25,95,,
39,2,D2,0.25,100,,
39,2.5,G2,0.25,95,,
39,3,C2,0.25,100,,
39,3.5,G2,0.25,95,,
39,3.75,Eb2,0.25,95,,
40,1,D2,0.25,100,,tenuto
40,1.5,A2,0.25,95,,
40,1.75,Eb2,0.25,95,,
40,2,D2,0.25,100,,
40,2.5,A2,0.25,95,,
40,3,D2,0.25,100,,
40,3.5,A2,0.25,95,,
40,3.75,G2,0.25,95,,
41,1,C2,0.25,100,,tenuto
41,1.5,G2,0.25,100,,tenuto
41,1.75,C2,0.25,100,,tenuto
41,2,Eb2,0.25,100,,tenuto
41,2.5,G2,0.25,100,,tenuto
41,3,C2,0.25,100,,tenuto
41,3.5,G2,0.25,100,,tenuto
41,3.75,Eb2,0.25,100,,tenuto
42,1,Eb2,0.25,100,,tenuto
42,1.5,F2,0.25,100,,tenuto
42,1.75,G2,0.25,100,,tenuto
42,2,F2,0.25,100,,tenuto
42,2.5,Eb2,0.25,100,,tenuto
42,3,D2,0.25,100,,tenuto
42,3.5,C2,0.25,100,,tenuto
42,3.75,Bb1,0.25,100,,tenuto
43,1,Bb1,0.25,100,,tenuto
43,1.5,F2,0.25,100,,tenuto
43,1.75,Bb1,0.25,100,,tenuto
43,2,Bb1,0.25,100,,tenuto
43,2.5,D2,0.25,100,,tenuto
43,3,C2,0.25,100,,tenuto
43,3.5,G2,0.25,100,,tenuto
43,3.75,Bb1,0.25,100,,tenuto
44,1,G2,0.25,100,,tenuto
44,1.5,D2,0.25,100,,tenuto
44,1.75,Eb2,0.25,100,,tenuto
44,2,D2,0.25,100,,tenuto
44,2.5,F2,0.25,100,,tenuto
44,3,C2,0.25,100,,tenuto
44,3.5,F2,0.25,100,,tenuto
44,3.75,D2,0.25,100,,tenuto
45,1,G2,0.25,100,,tenuto
45,1.5,F2,0.25,100,,tenuto
45,1.75,Bb1,0.25,100,,tenuto
45,2,Bb1,0.25,100,,tenuto
45,2.5,D2,0.25,100,,tenuto
45,3,C2,0.25,100,,tenuto
45,3.5,F2,0.25,100,,tenuto
45,3.75,Eb2,0.25,100,,tenuto
46,1,D2,0.25,100,,tenuto
46,1.5,G2,0.25,100,,tenuto
46,1.75,Eb2,0.25,100,,tenuto
46,2,D2,0.25,100,,tenuto
46,2.5,F2,0.25,100,,tenuto
46,3,C2,0.25,100,,tenuto
46,3.5,F2,0.25,100,,tenuto
46,3.75,G2,0.25,100,,tenuto
47,1,Bb1,0.25,100,,tenuto
47,1.5,Bb1,0.25,100,,tenuto
47,1.75,G2,0.25,100,,tenuto
47,2,D2,0.25,100,,tenuto
47,2.5,G2,0.25,100,,tenuto
47,3,C2,0.25,100,,tenuto
47,3.5,G2,0.25,100,,tenuto
47,3.75,Bb1,0.25,100,,tenuto
48,1,Bb1,0.25,100,,tenuto
48,1.5,D2,0.25,100,,tenuto
48,1.75,Eb2,0.25,100,,tenuto
48,2,D2,0.25,100,,tenuto
48,2.5,F2,0.25,100,,tenuto
48,3,C2,0.25,100,,tenuto
48,3.5,F2,0.25,100,,tenuto
48,3.75,D2,0.25,100,,tenuto
49,1,G2,0.25,100,,tenuto
49,1.5,Bb1,0.25,100,,tenuto
49,1.75,D2,0.25,100,,tenuto
49,2,D2,0.25,100,,tenuto
49,2.5,D2,0.25,100,,tenuto
49,3,C2,0.25,100,,tenuto
49,3.5,F2,0.25,100,,tenuto
49,3.75,Eb2,0.25,100,,tenuto
50,1,D2,0.25,100,,tenuto
50,1.5,Bb1,0.25,100,,tenuto
50,1.75,G2,0.25,100,,tenuto
50,2,D2,0.25,100,,tenuto
50,2.5,G2,0.25,100,,tenuto
50,3,C2,0.25,100,,tenuto
50,3.5,G2,0.25,100,,tenuto
50,3.75,G2,0.25,100,,tenuto
51,1,C2,0.25,100,,tenuto
51,1.5,G2,0.25,100,,tenuto
51,1.75,C2,0.25,100,,tenuto
51,2,Eb2,0.25,100,,tenuto
51,2.5,G2,0.25,100,,tenuto
51,3,C2,0.25,100,,tenuto
51,3.5,G2,0.25,100,,tenuto
51,3.75,Eb2,0.25,100,,tenuto
52,1,D2,0.25,100,,tenuto
52,1.5,A1,0.25,100,,tenuto
52,1.75,D2,0.25,100,,tenuto
52,2,Bb1,0.25,100,,tenuto
52,2.5,D2,0.25,100,,tenuto
52,3,A1,0.25,100,,tenuto
52,3.5,D2,0.25,100,,tenuto
52,3.75,Bb1,0.25,100,,tenuto
53,1,Eb2,0.25,100,,tenuto
53,1.5,G2,0.25,100,,tenuto
53,1.75,Eb2,0.25,100,,tenuto
53,2,G2,0.25,100,,tenuto
53,2.5,Eb2,0.25,100,,tenuto
53,3,C2,0.25,100,,tenuto
53,3.5,G2,0.25,100,,tenuto
53,3.75,Eb2,0.25,100,,tenuto
54,1,G2,0.25,100,,tenuto
54,1.5,D2,0.25,100,,tenuto
54,1.75,G2,0.25,100,,tenuto
54,2,Eb2,0.25,100,,tenuto
54,2.5,G2,0.25,100,,tenuto
54,3,D2,0.25,100,,tenuto
54,3.5,G2,0.25,100,,tenuto
54,3.75,Eb2,0.25,100,,tenuto
55,1,Eb2,0.25,100,,tenuto
55,1.5,G2,0.25,100,,tenuto
55,1.75,Eb2,0.25,100,,tenuto
55,2,G2,0.25,100,,tenuto
55,2.5,Eb2,0.25,100,,tenuto
55,3,C2,0.25,100,,tenuto
55,3.5,G2,0.25,100,,tenuto
55,3.75,Eb2,0.25,100,,tenuto
56,1,Eb2,0.25,100,,tenuto
56,1.5,G2,0.25,100,,tenuto
56,1.75,Eb2,0.25,100,,tenuto
56,2,G2,0.25,100,,tenuto
56,2.5,Eb2,0.25,100,,tenuto
56,3,C2,0.25,100,,tenuto
56,3.5,G2,0.25,100,,tenuto
56,3.75,Eb2,0.25,100,,tenuto
57,1,F2,0.25,100,,tenuto
57,1.5,C2,0.25,100,,tenuto
57,1.75,F2,0.25,100,,tenuto
57,2,Eb2,0.25,100,,tenuto
57,2.5,F2,0.25,100,,tenuto
57,3,C2,0.25,100,,tenuto
57,3.5,F2,0.25,100,,tenuto
57,3.75,Eb2,0.25,100,,tenuto
58,1,Eb2,0.25,100,,tenuto
58,1.5,G2,0.25,100,,tenuto
58,1.75,Eb2,0.25,100,,tenuto
58,2,Bb1,0.25,100,,tenuto
58,2.5,D2,0.25,100,,tenuto
58,3,Eb2,0.25,100,,tenuto
58,3.5,G2,0.25,100,,tenuto
58,3.75,D2,0.25,100,,tenuto
59,1,Bb1,0.25,100,,tenuto
59,1.5,F2,0.25,100,,tenuto
59,1.75,Bb1,0.25,100,,tenuto
59,2,G1,0.25,100,,tenuto
59,2.5,Bb1,0.25,100,,tenuto
59,3,F2,0.25,100,,tenuto
59,3.5,Bb1,0.25,100,,tenuto
59,3.75,D2,0.25,100,,tenuto
60,1,Eb2,0.25,100,,tenuto
60,1.5,G2,0.25,100,,tenuto
60,1.75,Eb2,0.25,100,,tenuto
60,2,G2,0.25,100,,tenuto
60,2.5,Eb2,0.25,100,,tenuto
60,3,C2,0.25,100,,tenuto
60,3.5,G2,0.25,100,,tenuto
60,3.75,Eb2,0.25,100,,tenuto
61,1,Eb2,0.25,100,,tenuto
61,1.5,Bb1,0.25,100,,tenuto
61,1.75,Eb2,0.25,100,,tenuto
61,2,G1,0.25,100,,tenuto
61,2.5,Eb2,0.25,100,,tenuto
61,3,Bb1,0.25,100,,tenuto
61,3.5,Eb2,0.25,100,,tenuto
61,3.75,G1,0.25,100,,tenuto
62,1,Bb1,0.25,100,,tenuto
62,1.5,F2,0.25,100,,tenuto
62,1.75,Bb1,0.25,100,,tenuto
62,2,D2,0.25,100,,tenuto
62,2.5,Bb1,0.25,100,,tenuto
62,3,F2,0.25,100,,tenuto
62,3.5,Bb1,0.25,100,,tenuto
62,3.75,D2,0.25,100,,tenuto
63,1,F2,0.25,100,,tenuto
63,1.5,C2,0.25,100,,tenuto
63,1.75,F2,0.25,100,,tenuto
63,2,A1,0.25,100,,tenuto
63,2.5,F2,0.25,100,,tenuto
63,3,C2,0.25,100,,tenuto
63,3.5,F2,0.25,100,,tenuto
63,3.75,A1,0.25,100,,tenuto
64,1,G2,0.25,100,,tenuto
64,1.5,D2,0.25,100,,tenuto
64,1.75,G2,0.25,100,,tenuto
64,2,Bb1,0.25,100,,tenuto
64,2.5,G2,0.25,100,,tenuto
64,3,D2,0.25,100,,tenuto
64,3.5,G2,0.25,100,,tenuto
64,3.75,Bb1,0.25,100,,tenuto
65,1,G2,0.25,100,,tenuto
65,1.5,D2,0.25,100,,tenuto
65,1.75,G2,0.25,100,,tenuto
65,2,Bb1,0.25,100,,tenuto
65,2.5,G2,0.25,100,,tenuto
65,3,D2,0.25,100,,tenuto
65,3.5,G2,0.25,100,,tenuto
65,3.75,Bb1,0.25,100,,tenuto
66,1,Eb2,0.25,100,,tenuto
66,1.5,Bb1,0.25,100,,tenuto
66,1.75,Eb2,0.25,100,,tenuto
66,2,G1,0.25,100,,tenuto
66,2.5,Eb2,0.25,100,,tenuto
66,3,Bb1,0.25,100,,tenuto
66,3.5,Eb2,0.25,100,,tenuto
66,3.75,G1,0.25,100,,tenuto
