measure,beat,pitch,duration,velocity,tie,articulation
111,1,Bb1,0.25,100,,tenuto
111,1.5,Eb2,0.25,100,,tenuto
111,1.75,Bb1,0.25,100,,tenuto
111,2.25,G1,0.25,100,,tenuto
111,2.5,Eb2,0.25,100,,tenuto
111,3,Bb1,0.25,100,,tenuto
111,3.5,G1,0.25,100,,tenuto
111,3.75,Bb1,0.25,100,,tenuto
111,4,C2,0.25,100,,tenuto
111,4.5,Eb2,0.25,100,,tenuto
112,1,G1,0.25,100,,tenuto
112,1.5,Bb1,0.25,100,,tenuto
112,1.75,G1,0.25,100,,tenuto
112,2.25,C2,0.25,100,,tenuto
112,2.5,Eb2,0.25,100,,tenuto
112,3,Bb1,0.25,100,,tenuto
112,3.5,Eb2,0.25,100,,tenuto
112,3.75,Bb1,0.25,100,,tenuto
112,4,D2,0.25,100,,tenuto
112,4.5,Eb2,0.25,100,,tenuto
113,1,C2,0.25,100,,tenuto
113,1.5,Eb2,0.25,100,,tenuto
113,1.75,C2,0.25,100,,tenuto
113,2.25,G1,0.25,100,,tenuto
113,2.5,Bb1,0.25,100,,tenuto
113,3,Eb2,0.25,100,,tenuto
113,3.5,G1,0.25,100,,tenuto
113,3.75,Bb1,0.25,100,,tenuto
113,4,C2,0.25,100,,tenuto
113,4.5,Eb2,0.25,100,,tenuto
114,1,Eb2,0.25,100,,tenuto
114,1.5,Bb1,0.25,100,,tenuto
114,1.75,Eb2,0.25,100,,tenuto
114,2.25,G1,0.25,100,,tenuto
114,2.5,Bb1,0.25,100,,tenuto
114,3,Eb2,0.25,100,,tenuto
114,3.5,G1,0.25,100,,tenuto
114,3.75,Bb1,0.25,100,,tenuto
114,4,C2,0.25,100,,tenuto
114,4.5,Eb2,0.25,100,,tenuto
115,1,G1,0.25,100,,tenuto
115,1.5,G1,0.25,100,,tenuto
115,1.75,D2,0.25,100,,tenuto
115,2.25,Eb2,0.25,100,,tenuto
115,2.5,G1,0.25,100,,tenuto
115,3,C2,0.25,100,,tenuto
115,3.5,C2,0.25,100,,tenuto
115,3.75,G2,0.25,100,,tenuto
115,4,D2,0.25,100,,tenuto
115,4.5,Eb2,0.25,100,,tenuto
116,1,Eb2,0.25,100,,tenuto
116,1.5,Bb1,0.25,100,,tenuto
116,1.75,Eb2,0.25,100,,tenuto
116,2.25,G1,0.25,100,,tenuto
116,2.5,Bb1,0.25,100,,tenuto
116,3,C2,0.25,100,,tenuto
116,3.5,Bb1,0.25,100,,tenuto
116,3.75,G2,0.25,100,,tenuto
116,4,D2,0.25,100,,tenuto
116,4.5,Eb2,0.25,100,,tenuto
117,1,D2,0.25,100,,tenuto
117,1.5,D2,0.25,100,,tenuto
117,1.75,Bb1,0.25,100,,tenuto
117,2.25,G1,0.25,100,,tenuto
117,2.5,D2,0.25,100,,tenuto
117,3,C2,0.25,100,,tenuto
117,3.5,C2,0.25,100,,tenuto
117,3.75,Bb1,0.25,100,,tenuto
117,4,D2,0.25,100,,tenuto
117,4.5,G1,0.25,100,,tenuto
118,1,C2,0.25,100,,tenuto
118,1.5,D2,0.25,100,,tenuto
118,1.75,Eb2,0.25,100,,tenuto
118,2.25,D2,0.25,100,,tenuto
118,2.5,Bb1,0.25,100,,tenuto
118,3,C2,0.25,100,,tenuto
118,3.5,Bb1,0.25,100,,tenuto
118,3.75,G2,0.25,100,,tenuto
118,4,D2,0.25,100,,tenuto
118,4.5,Eb2,0.25,100,,tenuto
119,1,C2,0.25,100,,tenuto
119,1.5,Eb2,0.25,100,,tenuto
119,1.75,C2,0.25,100,,tenuto
119,2.25,G1,0.25,100,,tenuto
119,2.5,Bb1,0.25,100,,tenuto
119,3,C2,0.25,100,,tenuto
119,3.5,G1,0.25,100,,tenuto
119,3.75,D2,0.25,100,,tenuto
119,4,C2,0.25,100,,tenuto
119,4.5,D2,0.25,100,,tenuto
120,1,G1,0.25,100,,tenuto
120,1.5,Bb1,0.25,100,,tenuto
120,1.75,Eb2,0.25,100,,tenuto
120,2.25,G1,0.25,100,,tenuto
120,2.5,Bb1,0.25,100,,tenuto
120,3,C2,0.25,100,,tenuto
120,3.5,Bb1,0.25,100,,tenuto
120,3.75,G2,0.25,100,,tenuto
120,4,D2,0.25,100,,tenuto
