measure,beat,pitch,duration,velocity,tie,articulation
1,1,C2,0.25,115,,staccato
1,1.25,F#2,0.25,100,,staccato
1,1.5,C2,0.25,100,,staccato
1,1.75,F#2,0.25,100,,staccato
1,2,C2,0.25,115,,staccato
1,2.25,F#2,0.25,100,,staccato
1,2.5,C2,0.25,100,,staccato
1,2.75,F#2,0.25,100,,staccato
1,3,C2,0.25,115,,staccato
1,3.25,F#2,0.25,100,,staccato
1,3.5,C2,0.25,100,,staccato
1,3.75,F#2,0.25,100,,staccato
1,4,C2,0.25,120,,accent
2,1,C2,0.25,115,,staccato
2,1.25,F#2,0.25,100,,staccato
2,1.5,C2,0.25,100,,staccato
2,1.75,F#2,0.25,100,,staccato
2,2,C2,0.25,115,,staccato
2,2.25,F#2,0.25,100,,staccato
2,2.5,C2,0.25,100,,staccato
2,2.75,F#2,0.25,100,,staccato
2,3,C2,0.25,115,,staccato
2,3.25,F#2,0.25,100,,staccato
2,3.5,C2,0.25,100,,staccato
2,3.75,F#2,0.25,100,,staccato
2,4,C2,0.25,120,,accent
3,1,C2,0.25,115,,staccato
3,1.25,F#2,0.25,100,,staccato
3,1.5,C2,0.25,100,,staccato
3,1.75,F#2,0.25,100,,staccato
3,2,C2,0.25,115,,staccato
3,2.25,F#2,0.25,100,,staccato
3,2.5,C2,0.25,100,,staccato
3,2.75,F#2,0.25,100,,staccato
3,3,C2,0.25,115,,staccato
3,3.25,F#2,0.25,100,,staccato
3,3.5,C2,0.25,100,,staccato
3,3.75,F#2,0.25,100,,staccato
3,4,C2,0.25,120,,accent
4,1,C2,0.25,115,,staccato
4,1.25,F#2,0.25,100,,staccato
4,1.5,C2,0.25,100,,staccato
4,1.75,F#2,0.25,100,,staccato
4,2,C2,0.25,115,,staccato
4,2.25,F#2,0.25,100,,staccato
4,2.5,C2,0.25,100,,staccato
4,2.75,F#2,0.25,100,,staccato
4,3,C2,0.25,115,,staccato
4,3.25,F#2,0.25,100,,staccato
4,3.5,C2,0.25,100,,staccato
4,3.75,F#2,0.25,100,,staccato
