measure,beat,pitch,duration,velocity,tie,articulation
21,1,C2,0.25,115,,staccato
21,1.25,F#2,0.25,100,,staccato
21,1.5,C2,0.25,100,,staccato
21,1.75,F#2,0.25,100,,staccato
21,2,C2,0.25,115,,staccato
21,2.25,F#2,0.25,100,,staccato
21,2.5,C2,0.25,100,,staccato
21,2.75,F#2,0.25,100,,staccato
21,3,C2,0.25,115,,staccato
21,3.25,F#2,0.25,100,,staccato
21,3.5,C2,0.25,100,,staccato
21,3.75,F#2,0.25,100,,staccato
21,4,C2,0.25,120,,accent
22,1,C2,0.25,115,,staccato
22,1.25,F#2,0.25,100,,staccato
22,1.5,C2,0.25,100,,staccato
22,1.75,F#2,0.25,100,,staccato
22,2,C2,0.25,115,,staccato
22,2.25,F#2,0.25,100,,staccato
22,2.5,C2,0.25,100,,staccato
22,2.75,F#2,0.25,100,,staccato
22,3,C2,0.25,115,,staccato
22,3.25,F#2,0.25,100,,staccato
22,3.5,C2,0.25,100,,staccato
22,3.75,F#2,0.25,100,,staccato
22,4,C2,0.25,120,,accent
23,1,C2,0.25,115,,staccato
23,1.25,F#2,0.25,100,,staccato
23,1.5,C2,0.25,100,,staccato
23,1.75,F#2,0.25,100,,staccato
23,2,C2,0.25,115,,staccato
23,2.25,F#2,0.25,100,,staccato
23,2.5,C2,0.25,100,,staccato
23,2.75,F#2,0.25,100,,staccato
23,3,C2,0.25,115,,staccato
23,3.25,F#2,0.25,100,,staccato
23,3.5,C2,0.25,100,,staccato
23,3.75,F#2,0.25,100,,staccato
23,4,C2,0.25,120,,accent
24,1,C2,0.25,115,,staccato
24,1.25,F#2,0.25,100,,staccato
24,1.5,C2,0.25,100,,staccato
24,1.75,F#2,0.25,100,,staccato
24,2,C2,0.25,115,,staccato
24,2.25,F#2,0.25,100,,staccato
24,2.5,C2,0.25,100,,staccato
24,2.75,F#2,0.25,100,,staccato
24,3,C2,0.25,115,,staccato
24,3.25,F#2,0.25,100,,staccato
24,3.5,C2,0.25,100,,staccato
24,3.75,F#2,0.25,100,,staccato
24,4,C2,0.25,120,,accent
25,1,C2,0.25,115,,staccato
25,1.25,F#2,0.25,100,,staccato
25,1.5,C2,0.25,100,,staccato
25,1.75,F#2,0.25,100,,staccato
25,2,C2,0.25,115,,staccato
25,2.25,F#2,0.25,100,,staccato
25,2.5,C2,0.25,100,,staccato
25,2.75,F#2,0.25,100,,staccato
25,3,C2,0.25,115,,staccato
25,3.25,F#2,0.25,100,,staccato
25,3.5,C2,0.25,100,,staccato
25,3.75,F#2,0.25,100,,staccato
25,4,C2,0.25,120,,accent
26,1,C2,0.25,115,,staccato
26,1.25,F#2,0.25,100,,staccato
26,1.5,C2,0.25,100,,staccato
26,1.75,F#2,0.25,100,,staccato
26,2,C2,0.25,115,,staccato
26,2.25,F#2,0.25,100,,staccato
26,2.5,C2,0.25,100,,staccato
26,2.75,F#2,0.25,100,,staccato
26,3,C2,0.25,115,,staccato
26,3.25,F#2,0.25,100,,staccato
26,3.5,C2,0.25,100,,staccato
26,3.75,F#2,0.25,100,,staccato
26,4,C2,0.25,120,,accent
27,1,C2,0.25,115,,staccato
27,1.25,F#2,0.25,100,,staccato
27,1.5,C2,0.25,100,,staccato
27,1.75,F#2,0.25,100,,staccato
27,2,C2,0.25,115,,staccato
27,2.25,F#2,0.25,100,,staccato
27,2.5,C2,0.25,100,,staccato
27,2.75,F#2,0.25,100,,staccato
27,3,C2,0.25,115,,staccato
27,3.25,F#2,0.25,100,,staccato
27,3.5,C2,0.25,100,,staccato
27,3.75,F#2,0.25,100,,staccato
27,4,C2,0.25,120,,accent
28,1,C2,0.25,115,,staccato
28,1.25,F#2,0.25,100,,staccato
28,1.5,C2,0.25,100,,staccato
28,1.75,F#2,0.25,100,,staccato
28,2,C2,0.25,115,,staccato
28,2.25,F#2,0.25,100,,staccato
28,2.5,C2,0.25,100,,staccato
28,2.75,F#2,0.25,100,,staccato
28,3,C2,0.25,115,,staccato
28,3.25,F#2,0.25,100,,staccato
28,3.5,C2,0.25,100,,staccato
28,3.75,F#2,0.25,100,,staccato
28,4,C2,0.25,120,,accent
29,1,C2,0.25,115,,staccato
29,1.25,F#2,0.25,100,,staccato
29,1.5,C2,0.25,100,,staccato
29,1.75,F#2,0.25,100,,staccato
29,2,C2,0.25,115,,staccato
29,2.25,F#2,0.25,100,,staccato
29,2.5,C2,0.25,100,,staccato
29,2.75,F#2,0.25,100,,staccato
29,3,C2,0.25,115,,staccato
29,3.25,F#2,0.25,100,,staccato
29,3.5,C2,0.25,100,,staccato
29,3.75,F#2,0.25,100,,staccato
29,4,C2,0.25,120,,accent
30,1,C2,0.25,115,,staccato
30,1.25,F#2,0.25,100,,staccato
30,1.5,C2,0.25,100,,staccato
30,1.75,F#2,0.25,100,,staccato
30,2,C2,0.25,115,,staccato
30,2.25,F#2,0.25,100,,staccato
30,2.5,C2,0.25,100,,staccato
30,2.75,F#2,0.25,100,,staccato
30,3,C2,0.25,115,,staccato
30,3.25,F#2,0.25,100,,staccato
30,3.5,C2,0.25,100,,staccato
30,3.75,F#2,0.25,100,,staccato
30,4,C2,0.25,120,,accent
