measure,beat,pitch,duration,velocity,tie,articulation
1,1,C3,0.25,110,,accent
1,1,G#6,0.25,100,,
1,1.5,E3,0.25,100,,
1,1.5,F#2,0.25,108,,
1,1.75,D#3,0.25,100,,
1,1.75,E3,0.25,100,,
1,2,D#3,0.25,110,,
1,2.5,D4,0.25,110,,
1,2.5,F#2,0.25,108,,
1,3,C3,0.25,110,,
1,3,G#6,0.25,100,,
1,3.25,E3,0.25,100,,
1,3.5,D#3,0.25,100,,
1,3.5,F#2,0.25,108,,
1,3.75,D#3,0.25,100,,
1,3.75,E3,0.25,100,,
1,4,C3,0.25,110,,
1,4.25,C3,0.25,110,,
1,4.25,D#3,0.25,100,,
1,4.5,D4,0.25,110,,
1,4.5,F#2,0.25,108,,
2,1,C3,0.25,110,,
2,1,D#3,0.25,100,,
2,1,G#6,0.25,100,,
2,1.5,D4,0.25,110,,
2,1.5,E3,0.25,100,,
2,1.5,F#2,0.25,108,,
2,1.75,E3,0.25,100,,
2,2.25,D#3,0.25,100,,
2,2.5,F#2,0.25,108,,
2,2.75,D#3,0.25,100,,
2,3,C3,0.25,110,,
2,3,D#3,0.25,100,,
2,3,E3,0.25,100,,
2,3.5,E3,0.25,100,,
2,3.5,F#2,0.25,108,,
2,3.5,G#6,0.25,100,,
2,3.75,D4,0.25,110,,
2,3.75,G#6,0.25,100,,
2,4,C3,0.25,110,,
2,4,D#3,0.25,100,,
2,4.25,C3,0.25,110,,
2,4.25,E3,0.25,100,,
2,4.5,E3,0.25,100,,
2,4.5,F#2,0.25,108,,
2,4.75,E3,0.25,100,,
3,1,C3,0.25,110,,
3,1,E3,0.25,100,,
3,1,G#6,0.25,100,,
3,1.25,E3,0.25,100,,
3,1.5,E3,0.25,100,,
3,1.5,F#2,0.25,108,,
3,1.75,D#3,0.25,100,,
3,1.75,E3,0.25,100,,
3,2,D#3,0.25,100,,
3,2.5,D4,0.25,110,,
3,2.5,F#2,0.25,108,,
3,3,C3,0.25,110,,
3,3,G#6,0.25,100,,
3,3.5,D#3,0.25,100,,
3,3.5,F#2,0.25,108,,
3,3.75,D#3,0.25,100,,
