measure,beat,pitch,duration,velocity,tie,articulation
1,1,C3,0.25,110,,accent
1,1.5,F#2,0.25,100,,
1,1.75,D#3,0.25,100,,
1,2,D4,0.25,105,,
1,2.5,D4,0.25,100,,
1,3,C3,0.25,110,,
1,3.5,F#2,0.25,100,,
1,3.75,E3,0.25,100,,
1,4.25,C3,0.25,110,,
1,4.5,F#2,0.25,100,,
2,1,C3,0.25,110,,
2,1.5,D#3,0.25,100,,
2,1.75,G#6,0.25,100,,
2,2,D4,0.25,105,,
2,2.5,E3,0.25,100,,
2,3,C3,0.25,110,,
2,3.5,E3,0.25,100,,
2,3.75,G#6,0.25,100,,
2,4.25,C3,0.25,110,,
2,4.5,F#2,0.25,100,,
3,1,C3,0.25,110,,
3,1.5,E3,0.25,100,,
3,1.75,D#3,0.25,100,,
3,2,D#3,0.25,105,,
3,2.5,D4,0.25,100,,
3,3,C3,0.25,110,,
3,3.5,F#2,0.25,100,,
3,3.75,D#3,0.25,100,,
3,4.25,C3,0.25,110,,
3,4.5,F#2,0.25,100,,
4,1,C3,0.25,112,,
4,1.5,D#3,0.25,100,,
4,1.75,E3,0.25,100,,
4,2.25,D#3,0.25,100,,
4,2.5,F#2,0.25,100,,
4,3,C3,0.25,112,,
4,3.5,F#2,0.25,100,,
4,3.75,D4,0.25,100,,
4,4.25,C3,0.25,110,,
4,4.5,F#2,0.25,100,,
5,1,C3,0.25,110,,
5,1.5,F#2,0.25,100,,
5,1.75,D#3,0.25,100,,
5,2,D#3,0.25,105,,
5,2.5,D4,0.25,100,,
5,3,C3,0.25,110,,
5,3.5,F#2,0.25,100,,
5,3.75,E3,0.25,100,,
5,4.25,C3,0.25,110,,
5,4.5,F#2,0.25,100,,
6,1,C3,0.25,111,,
6,1.5,D4,0.25,100,,
6,1.75,E3,0.25,100,,
6,2.25,D#3,0.25,100,,
6,2.5,F#2,0.25,100,,
6,3,C3,0.25,111,,
6,3.5,F#2,0.25,100,,
6,3.75,G#6,0.25,100,,
6,4.25,C3,0.25,110,,
6,4.5,F#2,0.25,100,,
7,1,C3,0.25,110,,
7,1.5,E3,0.25,100,,
7,1.75,D#3,0.25,100,,
7,2,D#3,0.25,105,,
7,2.5,G3,0.25,100,,
7,3,C3,0.25,110,,
7,3.5,C3,0.25,100,,
7,3.75,G4,0.25,100,,
7,4.25,C3,0.25,110,,
7,4.5,G4,0.25,100,,
8,1,D#3,0.25,110,,
8,1.5,D#3,0.25,100,,
8,2,G4,0.25,100,,
8,2.5,G4,0.25,100,,
8,3,D#3,0.25,110,,
8,3.5,D#3,0.25,100,,
8,4,D4,0.25,110,,
8,4.5,C3,0.25,100,,
9,1,C3,0.25,112,,
9,1.5,C3,0.25,100,,
9,2.5,C3,0.25,100,,
9,3,C3,0.25,112,,
9,3.5,F#2,0.25,100,,
9,4.25,C3,0.25,110,,
9,4.5,F#2,0.25,100,,
10,1,C3,0.25,112,,
10,1.5,D#3,0.25,100,,
10,2,D#3,0.25,105,,
10,2.5,G4,0.25,100,,
10,3,C3,0.25,112,,
10,3.5,G4,0.25,100,,
10,4.25,C3,0.25,110,,
10,4.5,G4,0.25,100,,
11,1,C3,0.25,112,,accent
11,1.5,F#2,0.25,100,,
11,1.75,D#3,0.25,100,,
11,2,C3,0.25,105,,
11,2.5,D4,0.25,100,,
11,3,C3,0.25,112,,accent
11,3.5,F#2,0.25,100,,
11,3.75,E3,0.25,100,,
12,1,C3,0.25,112,,accent
12,1.5,D#3,0.25,100,,
12,1.75,G#6,0.25,100,,
12,2,D4,0.25,105,,
12,2.5,E3,0.25,100,,
12,3,C3,0.25,112,,
12,3.5,E3,0.25,100,,
12,3.75,G#6,0.25,100,,
13,1,C3,0.25,112,,accent
13,1.5,E3,0.25,100,,
13,1.75,D#3,0.25,100,,
13,2,D#3,0.25,105,,
13,2.5,D4,0.25,100,,
13,3,C3,0.25,112,,
13,3.5,F#2,0.25,100,,
13,3.75,D#3,0.25,100,,
14,1,C3,0.25,113,,accent
14,1.5,D#3,0.25,100,,
14,1.75,E3,0.25,100,,
14,2.25,D#3,0.25,100,,
14,2.5,F#2,0.25,100,,
14,3,C3,0.25,112,,
14,3.5,F#2,0.25,100,,
14,3.75,D4,0.25,100,,
15,1,C3,0.25,112,,accent
15,1.5,F#2,0.25,100,,
15,1.75,D#3,0.25,100,,
15,2,D#3,0.25,105,,
15,2.5,D4,0.25,100,,
15,3,C3,0.25,112,,
15,3.5,F#2,0.25,100,,
15,3.75,E3,0.25,100,,
