measure,beat,pitch,duration,velocity,tie,articulation
61,1,C3,0.25,115,,accent
61,1.5,D#3,0.25,100,,
61,1.75,E3,0.25,100,,
61,2.25,D#3,0.25,100,,
61,2.5,F#2,0.25,100,,
61,3,C3,0.25,115,,
61,3.5,F#2,0.25,100,,
61,3.75,D4,0.25,100,,
62,1,C3,0.25,116,,accent
62,1.5,D#3,0.25,101,,
62,1.75,G#6,0.25,100,,
62,2,D4,0.25,105,,
62,2.5,E3,0.25,100,,
62,3,C3,0.25,116,,
62,3.5,E3,0.25,100,,
62,3.75,G#6,0.25,100,,
63,1,C3,0.25,115,,accent
63,1.5,E3,0.25,100,,
63,1.75,D#3,0.25,100,,
63,2,D#3,0.25,105,,
63,2.5,D4,0.25,100,,
63,3,C3,0.25,115,,
63,3.5,F#2,0.25,100,,
63,3.75,D#3,0.25,100,,
64,1,C3,0.25,117,,accent
64,1.5,D#3,0.25,100,,
64,1.75,E3,0.25,100,,
64,2.25,D#3,0.25,100,,
64,2.5,F#2,0.25,100,,
64,3,C3,0.25,117,,
64,3.5,F#2,0.25,100,,
64,3.75,D4,0.25,100,,
65,1,C3,0.25,116,,accent
65,1.5,F#2,0.25,100,,
65,1.75,D#3,0.25,100,,
65,2,D#3,0.25,105,,
65,2.5,D4,0.25,100,,
65,3,C3,0.25,116,,
65,3.5,F#2,0.25,100,,
65,3.75,E3,0.25,100,,
66,1,C3,0.25,115,,accent
66,1.5,D4,0.25,100,,
66,1.75,E3,0.25,100,,
66,2.25,D#3,0.25,100,,
66,2.5,F#2,0.25,100,,
66,3,C3,0.25,115,,
66,3.5,F#2,0.25,100,,
66,3.75,G#6,0.25,100,,
67,1,C3,0.25,118,,accent
67,1.5,C3,0.25,101,,
67,1.75,G3,0.25,100,,
67,2,D#3,0.25,105,,
67,2.5,G3,0.25,100,,
67,3,C3,0.25,118,,
67,3.5,C3,0.25,100,,
67,3.75,G4,0.25,100,,
68,1,C3,0.25,117,,accent
68,1.5,D#3,0.25,100,,
68,1.75,E3,0.25,100,,
68,2.25,D#3,0.25,100,,
68,2.5,F#2,0.25,100,,
68,3,C3,0.25,117,,
68,3.5,F#2,0.25,100,,
68,3.75,D4,0.25,100,,
69,1,C3,0.25,116,,accent
69,1.5,C3,0.25,100,,
69,1.75,D#3,0.25,100,,
69,2,D#3,0.25,105,,
69,2.5,D4,0.25,100,,
69,3,C3,0.25,116,,
69,3.5,F#2,0.25,100,,
69,3.75,E3,0.25,100,,
70,1,C3,0.25,120,,accent
70,1.5,D#3,0.25,102,,
70,1.75,E3,0.25,100,,
70,2.25,D#3,0.25,100,,
70,2.5,F#2,0.25,100,,
70,3,C3,0.25,120,,
70,3.5,F#2,0.25,100,,
70,3.75,D4,0.25,100,,
