measure,beat,pitch,duration,velocity,tie,articulation
1,1,C3,1,75,,tenuto
1,2,C3,1,75,,tenuto
1,3,C3,1,75,,tenuto
1,4,C3,1,75,,tenuto
2,1,Eb3,1,76,,tenuto
2,2,Eb3,1,76,,tenuto
2,3,Eb3,1,76,,tenuto
2,4,Eb3,1,76,,tenuto
3,1,G3,0.9,80,,tenuto
3,2,C4,0.4,80,,tenuto
3,2.5,Bb3,0.4,80,,tenuto
3,3,G3,1.9,82,,tenuto
4,1,G3,0.9,80,,tenuto
4,2,C4,0.9,80,,tenuto
4,3,G3,1.9,82,,tenuto
5,1,G3,0.9,80,,tenuto
5,2,C4,0.4,80,,tenuto
5,2.5,G3,0.25,82,,tenuto
5,3,F3,0.25,78,,tenuto
5,3.5,G3,0.9,82,,tenuto
5,4.5,C4,0.4,80,,tenuto
6,1,Bb3,2.9,78,,tenuto
6,4,C3,0.9,76,,tenuto
7,1,C3,0.9,76,,tenuto
7,2,Eb3,0.4,77,,tenuto
7,2.5,G3,0.4,78,,tenuto
7,3,C3,0.25,76,,tenuto
7,3.5,Bb2,0.4,74,,tenuto
7,4,G3,0.25,78,,tenuto
7,4.5,Eb3,0.4,77,,tenuto
8,1,Eb3,0.25,77,,tenuto
8,1.5,F3,0.4,76,,tenuto
8,2,G3,0.25,78,,tenuto
8,2.5,F3,0.4,76,,tenuto
8,3,Eb3,0.25,77,,tenuto
8,3.5,D3,0.4,75,,tenuto
8,4,C3,0.25,76,,tenuto
8,4.5,Bb2,0.4,74,,tenuto
9,1,Bb2,2.9,74,,tenuto
9,4,G2,0.9,72,,tenuto
10,1,G2,0.9,72,,tenuto
10,2,Bb2,0.9,74,,tenuto
10,3,D3,0.9,76,,tenuto
10,4,G2,0.9,72,,tenuto
11,1,G2,1.9,76,,tenuto
11,3,Bb2,1.9,76,,tenuto
12,1,D3,1.9,76,,tenuto
12,3,G2,1.9,76,,tenuto
13,1,Bb2,1.9,76,,tenuto
13,3,D3,0.25,76,,tenuto
13,3.5,G3,0.25,76,,tenuto
13,4,G2,0.9,76,,tenuto
14,1,Bb2,1.9,76,,tenuto
14,3,D3,1.9,76,,tenuto
15,1,G2,1.9,76,,tenuto
15,3,Bb2,1.9,76,,tenuto
16,1,D3,0.25,76,,tenuto
16,1.5,Bb2,0.4,76,,tenuto
16,2,G2,1.9,76,,tenuto
17,1,Bb2,1.9,76,,tenuto
17,3,G2,1.9,76,,tenuto
18,1,D3,0.9,76,,tenuto
18,2,B2,1.9,76,,tenuto
18,4,G2,0.9,76,,tenuto
19,1,G2,3.9,76,,tenuto
20,1,G2,0.9,76,,tenuto
20,2,Bb2,0.4,76,,tenuto
20,2.5,G2,0.4,76,,tenuto
20,3,D3,1.9,76,,tenuto
21,1,G2,0.9,76,,tenuto
21,2,Bb2,0.9,76,,tenuto
21,3,G2,1.9,76,,tenuto
22,1,G2,0.9,76,,tenuto
22,2,Bb2,0.4,76,,tenuto
22,2.5,D3,0.25,76,,tenuto
22,3,Bb2,0.25,76,,tenuto
22,3.5,D3,0.9,76,,tenuto
22,4.5,G2,0.4,76,,tenuto
23,1,A2,2.9,76,,tenuto
23,4,G2,0.9,76,,tenuto
24,1,G2,0.9,76,,tenuto
24,2,Bb2,0.4,76,,tenuto
24,2.5,D3,0.4,76,,tenuto
24,3,G2,0.25,76,,tenuto
24,3.5,A2,0.4,76,,tenuto
24,4,D3,0.25,76,,tenuto
24,4.5,G2,0.4,76,,tenuto
25,1,Bb2,0.25,76,,tenuto
25,1.5,D3,0.4,76,,tenuto
25,2,D3,0.25,76,,tenuto
25,2.5,Bb2,0.4,76,,tenuto
25,3,G2,0.25,76,,tenuto
25,3.5,A2,0.4,76,,tenuto
25,4,G2,0.25,76,,tenuto
25,4.5,D2,0.4,76,,tenuto
26,1,G2,2.9,76,,tenuto
26,4,G2,0.9,76,,tenuto
27,1,G2,0.9,76,,tenuto
27,2,Bb2,0.9,76,,tenuto
27,3,D3,0.9,76,,tenuto
27,4,G2,0.9,76,,tenuto
28,1,D3,1.9,76,,tenuto
28,3,Bb2,1.9,76,,tenuto
29,1,A2,1.9,76,,tenuto
29,3,G2,1.9,76,,tenuto
30,1,Bb2,1.9,76,,tenuto
30,3,D3,0.25,76,,tenuto
30,3.5,A2,0.25,76,,tenuto
30,4,G2,0.9,76,,tenuto
31,1,Bb2,1.9,76,,tenuto
31,3,G2,1.9,76,,tenuto
32,1,G2,1.9,76,,tenuto
32,3,Bb2,1.9,76,,tenuto
33,1,A2,0.25,76,,tenuto
33,1.5,G2,0.4,76,,tenuto
33,2,Bb2,1.9,76,,tenuto
34,1,A2,1.9,76,,tenuto
34,3,G2,1.9,76,,tenuto
35,1,D3,0.9,76,,tenuto
35,2,G2,1.9,76,,tenuto
35,4,D3,0.9,76,,tenuto
36,1,G2,3.9,76,,tenuto
37,1,G2,3.9,76,,tenuto
37,4,D3,0.9,76,,tenuto
38,1,D3,0.25,76,,tenuto
38,1.5,G2,0.4,76,,tenuto
38,2,Bb2,1.9,76,,tenuto
39,1,A2,1.9,76,,tenuto
39,3,G2,1.9,76,,tenuto
40,1,G2,2.9,76,,tenuto
40,4,G2,0.9,76,,tenuto
41,1,G2,0.9,76,,tenuto
41,2,Bb2,0.4,76,,tenuto
41,2.5,G2,0.4,76,,tenuto
41,3,D3,1.9,76,,tenuto
42,1,G2,0.9,76,,tenuto
42,2,Bb2,0.9,76,,tenuto
42,3,G2,1.9,76,,tenuto
43,1,G2,0.9,76,,tenuto
43,2,Bb2,0.4,76,,tenuto
43,2.5,D3,0.25,76,,tenuto
43,3,Bb2,0.25,76,,tenuto
43,3.5,D3,0.9,76,,tenuto
43,4.5,G2,0.4,76,,tenuto
44,1,A2,2.9,76,,tenuto
44,4,G2,0.9,76,,tenuto
45,1,G2,0.9,76,,tenuto
45,2,Bb2,0.4,76,,tenuto
45,2.5,D3,0.4,76,,tenuto
45,3,G2,0.25,76,,tenuto
45,3.5,A2,0.4,76,,tenuto
45,4,D3,0.25,76,,tenuto
45,4.5,G2,0.4,76,,tenuto
46,1,Bb2,0.25,76,,tenuto
46,1.5,D3,0.4,76,,tenuto
46,2,D3,0.25,76,,tenuto
46,2.5,Bb2,0.4,76,,tenuto
46,3,G2,0.25,76,,tenuto
46,3.5,A2,0.4,76,,tenuto
46,4,G2,0.25,76,,tenuto
46,4.5,D2,0.4,76,,tenuto
47,1,G2,2.9,76,,tenuto
47,4,G2,0.9,76,,tenuto
48,1,G2,0.9,76,,tenuto
48,2,Bb2,0.9,76,,tenuto
48,3,D3,0.9,76,,tenuto
48,4,G2,0.9,76,,tenuto
49,1,D3,1.9,76,,tenuto
49,3,Bb2,1.9,76,,tenuto
50,1,A2,1.9,76,,tenuto
50,3,G2,1.9,76,,tenuto
51,1,Bb2,1.9,76,,tenuto
51,3,D3,0.25,76,,tenuto
51,3.5,A2,0.25,76,,tenuto
51,4,G2,0.9,76,,tenuto
52,1,Bb2,1.9,76,,tenuto
52,3,A2,1.9,76,,tenuto
53,1,G2,1.9,76,,tenuto
53,3,Bb2,1.9,76,,tenuto
54,1,A2,0.25,76,,tenuto
54,1.5,G2,0.4,76,,tenuto
54,2,Bb2,1.9,76,,tenuto
55,1,A2,1.9,76,,tenuto
55,3,G2,1.9,76,,tenuto
56,1,F#2,0.9,76,,tenuto
56,2,G2,1.9,76,,tenuto
56,4,D2,0.9,76,,tenuto
57,1,G2,3.9,76,,tenuto
58,1,G2,0.9,76,,tenuto
58,2,Bb2,0.4,76,,tenuto
58,2.5,G2,0.4,76,,tenuto
58,3,D3,1.9,76,,tenuto
59,1,G2,0.9,76,,tenuto
59,2,Bb2,0.9,76,,tenuto
59,3,G2,1.9,76,,tenuto
60,1,G2,0.9,76,,tenuto
60,2,Bb2,0.4,76,,tenuto
60,2.5,D3,0.25,76,,tenuto
60,3,Bb2,0.25,76,,tenuto
60,3.5,D3,0.9,76,,tenuto
60,4.5,G2,0.4,76,,tenuto
61,1,A2,2.9,76,,tenuto
61,4,G2,0.9,76,,tenuto
62,1,G2,0.9,76,,tenuto
62,2,Bb2,0.4,76,,tenuto
62,2.5,D3,0.4,76,,tenuto
62,3,G2,0.25,76,,tenuto
62,3.5,A2,0.4,76,,tenuto
62,4,D3,0.25,76,,tenuto
62,4.5,G2,0.4,76,,tenuto
63,1,Bb2,0.25,76,,tenuto
63,1.5,D3,0.4,76,,tenuto
63,2,D3,0.25,76,,tenuto
63,2.5,Bb2,0.4,76,,tenuto
63,3,G2,0.25,76,,tenuto
63,3.5,A2,0.4,76,,tenuto
63,4,G2,0.25,76,,tenuto
63,4.5,D2,0.4,76,,tenuto
64,1,G2,2.9,76,,tenuto
64,4,G2,0.9,76,,tenuto
65,1,G2,0.9,76,,tenuto
65,2,Bb2,0.9,76,,tenuto
65,3,D3,0.9,76,,tenuto
65,4,G2,0.9,76,,tenuto
66,1,D3,1.9,76,,tenuto
66,3,Bb2,1.9,76,,tenuto
67,1,A2,1.9,76,,tenuto
67,3,G2,1.9,76,,tenuto
68,1,Bb2,1.9,76,,tenuto
68,3,D3,0.25,76,,tenuto
68,3.5,A2,0.25,76,,tenuto
68,4,G2,0.9,76,,tenuto
69,1,Bb2,1.9,76,,tenuto
69,3,A2,1.9,76,,tenuto
70,1,G2,1.9,76,,tenuto
70,3,Bb2,1.9,76,,tenuto
71,1,A2,0.25,76,,tenuto
71,1.5,G2,0.4,76,,tenuto
71,2,Bb2,1.9,76,,tenuto
72,1,A2,1.9,76,,tenuto
72,3,G2,1.9,76,,tenuto
73,1,F#2,0.9,76,,tenuto
73,2,G2,1.9,76,,tenuto
73,4,D3,0.9,76,,tenuto
74,1,G2,3.9,76,,tenuto
75,1,G2,0.9,76,,tenuto
75,2,Bb2,0.4,76,,tenuto
75,2.5,G2,0.4,76,,tenuto
75,3,D3,1.9,76,,tenuto
76,1,G2,0.9,76,,tenuto
76,2,Bb2,0.9,76,,tenuto
76,3,G2,1.9,76,,tenuto
77,1,G2,0.9,76,,tenuto
77,2,Bb2,0.4,76,,tenuto
77,2.5,D3,0.25,76,,tenuto
77,3,Bb2,0.25,76,,tenuto
77,3.5,D3,0.9,76,,tenuto
77,4.5,G2,0.4,76,,tenuto
78,1,A2,2.9,76,,tenuto
