measure,beat,pitch,duration,velocity,tie,articulation
131,1,Bb2,0.25,76,,tenuto
131,1.5,D3,0.4,76,,tenuto
131,2,D3,0.25,76,,tenuto
131,2.5,Bb2,0.4,76,,tenuto
131,3,D3,0.25,76,,tenuto
131,3.5,D3,0.4,76,,tenuto
131,4,D3,0.25,76,,tenuto
131,4.5,D3,0.4,76,,tenuto
132,1,D3,2.9,76,,tenuto
132,4,D3,0.9,76,,tenuto
133,1,D3,0.9,76,,tenuto
133,2,Bb2,0.9,76,,tenuto
133,3,D3,0.9,76,,tenuto
133,4,D3,0.9,76,,tenuto
134,1,D3,1.9,76,,tenuto
134,3,Bb2,1.9,76,,tenuto
135,1,D3,1.9,76,,tenuto
135,3,D3,1.9,76,,tenuto
136,1,Bb2,1.9,76,,tenuto
136,3,D3,0.25,76,,tenuto
136,3.5,D3,0.25,76,,tenuto
136,4,D3,0.9,76,,tenuto
137,1,Bb2,1.9,76,,tenuto
137,3,D3,1.9,76,,tenuto
138,1,D3,1.9,76,,tenuto
138,3,Bb2,1.9,76,,tenuto
139,1,rest,4,76,,tenuto
140,1,rest,4,76,,tenuto
