measure,beat,pitch,duration,velocity,tie,articulation
1,1,C3,4,84,,
2,1,C3,4,84,,
3,1,C3,0.9,84,,legato
3,2,D#3,0.4,84,,staccato
3,2.5,D#3,0.4,84,,staccato
3,3,G3,1.9,88,,legato
4,1,C3,0.9,84,,legato
4,2,D#3,0.9,84,,legato
4,3,D3,1.9,86,,legato
5,1,C3,0.9,84,,legato
5,2,D#3,0.4,84,,staccato
5,2.5,G3,0.25,86,,staccato
5,3,G3,0.25,86,,staccato
5,3.5,G3,0.9,88,,legato
5,4.5,D#3,0.4,84,,staccato
6,1,D3,2.9,86,,legato
6,4,D3,0.9,84,,legato
7,1,C3,0.9,84,,legato
7,2,D#3,0.4,84,,staccato
7,2.5,G3,0.4,86,,staccato
7,3,C3,0.25,84,,staccato
7,3.5,C3,0.4,84,,staccato
7,4,G3,0.25,86,,staccato
7,4.5,G3,0.4,86,,staccato
8,1,D#3,0.25,84,,staccato
8,1.5,D#3,0.4,84,,staccato
8,2,G3,0.25,86,,staccato
8,2.5,G3,0.4,86,,staccato
8,3,D#3,0.25,84,,staccato
8,3.5,D#3,0.4,84,,staccato
8,4,D3,0.25,86,,staccato
8,4.5,C3,0.4,84,,staccato
9,1,C3,2.9,88,,legato
9,4,C3,0.9,84,,legato
10,1,C3,0.9,84,,legato
10,2,D#3,0.9,84,,legato
10,3,G3,0.9,88,,legato
10,4,G3,0.9,88,,legato
11,1,G3,1.9,86,,legato
11,3,D#3,1.9,86,,legato
12,1,D3,1.9,86,,legato
12,3,C3,1.9,86,,legato
13,1,D#3,1.9,86,,legato
13,3,G3,0.25,86,,staccato
13,3.5,G3,0.25,86,,staccato
13,4,G3,0.9,86,,legato
14,1,D#3,1.9,86,,legato
14,3,D3,1.9,86,,legato
15,1,C3,1.9,86,,legato
15,3,D#3,1.9,86,,legato
16,1,D3,0.25,86,,staccato
16,1.5,D3,0.4,86,,staccato
16,2,D#3,1.9,86,,legato
17,1,D3,1.9,86,,legato
17,3,C3,1.9,86,,legato
18,1,B2,0.9,86,,legato
18,2,B2,1.9,86,,legato
18,4,C3,0.9,86,,legato
19,1,C3,3.9,86,,legato
20,1,C3,0.9,86,,legato
20,2,D#3,0.4,86,,staccato
20,2.5,D#3,0.4,86,,staccato
20,3,G3,1.9,86,,legato
21,1,C3,0.9,86,,legato
21,2,D#3,0.9,86,,legato
21,3,D3,1.9,86,,legato
22,1,C3,0.9,86,,legato
22,2,D#3,0.4,86,,staccato
22,2.5,G3,0.25,86,,staccato
22,3,G3,0.25,86,,staccato
22,3.5,G3,0.9,86,,legato
22,4.5,D#3,0.4,86,,staccato
23,1,D3,2.9,86,,legato
23,4,D3,0.9,86,,legato
24,1,C3,0.9,86,,legato
24,2,D#3,0.4,86,,staccato
24,2.5,G3,0.4,86,,staccato
24,3,C3,0.25,86,,staccato
24,3.5,C3,0.4,86,,staccato
24,4,G3,0.25,86,,staccato
24,4.5,G3,0.4,86,,staccato
25,1,D#3,0.25,86,,staccato
25,1.5,D#3,0.4,86,,staccato
25,2,G3,0.25,86,,staccato
25,2.5,G3,0.4,86,,staccato
25,3,D#3,0.25,86,,staccato
25,3.5,D#3,0.4,86,,staccato
25,4,D3,0.25,86,,staccato
25,4.5,C3,0.4,86,,staccato
26,1,C3,2.9,86,,legato
26,4,C3,0.9,86,,legato
27,1,C3,0.9,86,,legato
27,2,D#3,0.9,86,,legato
27,3,G3,0.9,86,,legato
27,4,G3,0.9,86,,legato
28,1,G3,1.9,86,,legato
28,3,D#3,1.9,86,,legato
29,1,D3,1.9,86,,legato
29,3,C3,1.9,86,,legato
30,1,D#3,1.9,86,,legato
30,3,G3,0.25,86,,staccato
30,3.5,G3,0.25,86,,staccato
30,4,G3,0.9,86,,legato
31,1,D#3,1.9,86,,legato
31,3,D3,1.9,86,,legato
32,1,C3,1.9,86,,legato
32,3,D#3,1.9,86,,legato
33,1,D3,0.25,86,,staccato
33,1.5,D3,0.4,86,,staccato
33,2,D#3,1.9,86,,legato
34,1,D3,1.9,86,,legato
34,3,C3,1.9,86,,legato
35,1,B2,0.9,86,,legato
35,2,B2,1.9,86,,legato
35,4,C3,0.9,86,,legato
36,1,C3,3.9,86,,legato
37,1,C3,0.9,86,,legato
37,2,Eb3,0.4,86,,staccato
37,2.5,D3,0.4,86,,staccato
37,3,G3,1.9,86,,legato
38,1,C3,0.9,86,,legato
38,2,Eb3,0.9,86,,legato
38,3,C3,1.9,86,,legato
39,1,C3,0.9,86,,legato
39,2,Eb3,0.4,86,,staccato
39,2.5,G3,0.25,86,,staccato
39,3,F3,0.25,86,,staccato
39,3.5,G3,0.9,86,,legato
39,4.5,Eb3,0.4,86,,staccato
40,1,D3,2.9,86,,legato
40,4,C3,0.9,86,,legato
41,1,G3,0.9,86,,legato
41,2,Bb3,0.4,86,,staccato
41,2.5,Eb3,0.4,86,,staccato
41,3,G3,0.25,86,,staccato
41,3.5,D3,0.4,86,,staccato
41,4,Bb3,0.25,86,,staccato
41,4.5,Eb3,0.4,86,,staccato
42,1,Eb3,0.25,86,,staccato
42,1.5,F3,0.4,86,,staccato
42,2,G3,0.25,86,,staccato
42,2.5,F3,0.4,86,,staccato
42,3,Eb3,0.25,86,,staccato
42,3.5,D3,0.4,86,,staccato
42,4,C3,0.25,86,,staccato
42,4.5,Bb2,0.4,86,,staccato
43,1,Bb2,2.9,86,,legato
43,4,G2,0.9,86,,legato
44,1,G2,0.9,86,,legato
44,2,Bb2,0.9,86,,legato
44,3,D3,0.9,86,,legato
44,4,G2,0.9,86,,legato
45,1,G2,1.9,86,,legato
45,3,Bb2,1.9,86,,legato
46,1,D3,1.9,86,,legato
46,3,G2,1.9,86,,legato
47,1,Bb2,1.9,86,,legato
47,3,D3,0.25,86,,staccato
47,3.5,G3,0.25,86,,staccato
47,4,G2,0.9,86,,legato
48,1,Bb2,1.9,86,,legato
48,3,D3,1.9,86,,legato
49,1,G2,1.9,86,,legato
49,3,Bb2,1.9,86,,legato
50,1,D3,0.25,86,,staccato
50,1.5,Bb2,0.4,86,,staccato
50,2,G2,1.9,86,,legato
51,1,G3,1.9,86,,legato
51,3,Eb3,1.9,86,,legato
52,1,Bb3,0.9,86,,legato
52,2,G3,1.9,86,,legato
52,4,Eb3,0.9,86,,legato
53,1,Eb3,3.9,86,,legato
54,1,Eb3,0.9,86,,legato
54,2,G3,0.4,86,,staccato
