measure,beat,pitch,duration,velocity,tie,articulation
91,1,C3,2.9,86,,legato
91,4,C3,0.9,86,,legato
92,1,Bb2,0.9,86,,legato
92,2,Bb2,0.4,86,,legato
92,2.5,C3,0.4,86,,legato
92,3,Bb2,0.25,86,,legato
92,3.5,C3,0.4,86,,legato
92,4,Eb3,0.25,86,,legato
92,4.5,C3,0.4,86,,legato
93,1,Bb2,0.25,86,,legato
93,1.5,C3,0.4,86,,legato
93,2,Eb3,0.25,86,,legato
93,2.5,Bb2,0.4,86,,legato
93,3,C3,0.25,86,,legato
93,3.5,C3,0.4,86,,legato
93,4,C3,0.25,86,,legato
93,4.5,G2,0.4,86,,legato
94,1,C3,2.9,86,,legato
94,4,Eb3,0.9,86,,legato
95,1,C3,0.9,86,,legato
95,2,G2,0.9,86,,legato
95,3,Eb3,0.9,86,,legato
95,4,C3,0.9,86,,legato
96,1,C3,1.9,86,,legato
96,3,Eb3,1.9,86,,legato
97,1,Bb2,1.9,86,,legato
97,3,C3,1.9,86,,legato
98,1,G2,1.9,86,,legato
98,3,Eb3,0.25,86,,legato
98,3.5,Bb2,0.25,86,,legato
98,4,C3,0.9,86,,legato
99,1,C3,1.9,86,,legato
99,3,G2,1.9,86,,legato
100,1,Eb3,1.9,86,,legato
100,3,C3,1.9,86,,legato
