measure,beat,pitch,duration,velocity,tie,articulation
1,1,rest,4,0,,
2,1,rest,4,0,,
3,1,G3,0.9,80,,legato
3,2,Eb3,0.4,80,,legato
3,2.5,Eb3,0.4,80,,legato
3,3,G3,1.9,80,,legato
4,1,G3,0.9,80,,legato
4,2,Eb3,0.9,80,,legato
4,3,Bb2,1.9,80,,legato
5,1,G3,0.9,80,,legato
5,2,Eb3,0.4,80,,legato
5,2.5,G3,0.25,80,,legato
5,3,G3,0.25,80,,legato
5,3.5,G3,0.9,80,,legato
5,4.5,Eb3,0.4,80,,legato
6,1,Bb2,2.9,80,,legato
6,4,Bb2,0.9,80,,legato
7,1,G3,0.9,80,,legato
7,2,Eb3,0.4,80,,legato
7,2.5,G3,0.4,80,,legato
7,3,G3,0.25,80,,legato
7,3.5,G3,0.4,80,,legato
7,4,G3,0.25,80,,legato
7,4.5,G3,0.4,80,,legato
8,1,Eb3,0.25,80,,legato
8,1.5,Eb3,0.4,80,,legato
8,2,G3,0.25,80,,legato
8,2.5,G3,0.4,80,,legato
8,3,Eb3,0.25,80,,legato
8,3.5,Eb3,0.4,80,,legato
8,4,Bb2,0.25,80,,legato
8,4.5,G3,0.4,80,,legato
9,1,G3,2.9,80,,legato
9,4,G3,0.9,80,,legato
10,1,G3,0.9,80,,legato
10,2,Eb3,0.9,80,,legato
10,3,G3,0.9,80,,legato
10,4,G3,0.9,80,,legato
11,1,G3,1.9,80,,legato
11,3,Eb3,1.9,80,,legato
12,1,D3,1.9,80,,legato
12,3,C3,1.9,80,,legato
13,1,Eb3,1.9,80,,legato
13,3,G3,0.25,80,,legato
13,3.5,G3,0.25,80,,legato
13,4,G3,0.9,80,,legato
14,1,Eb3,1.9,80,,legato
14,3,D3,1.9,80,,legato
15,1,C3,1.9,80,,legato
15,3,Eb3,1.9,80,,legato
16,1,D3,0.25,80,,legato
16,1.5,D3,0.4,80,,legato
16,2,Eb3,1.9,80,,legato
17,1,D3,1.9,80,,legato
17,3,C3,1.9,80,,legato
18,1,B2,0.9,80,,legato
18,2,B2,1.9,80,,legato
18,4,C3,0.9,80,,legato
19,1,C3,3.9,80,,legato
20,1,C3,0.9,80,,legato
20,2,Eb3,0.4,80,,legato
20,2.5,Eb3,0.4,80,,legato
20,3,G3,1.9,80,,legato
21,1,C3,0.9,80,,legato
21,2,Eb3,0.9,80,,legato
21,3,D3,1.9,80,,legato
22,1,C3,0.9,80,,legato
