measure,beat,pitch,duration,velocity,tie,articulation
101,1,G3,0.25,80,,legato
101,1.5,Bb3,0.4,80,,legato
101,2,G3,1.9,80,,legato
102,1,Bb3,1.9,80,,legato
102,3,G3,1.9,80,,legato
103,1,F3,0.9,80,,legato
103,2,F3,1.9,80,,legato
103,4,G3,0.9,80,,legato
104,1,G3,3.9,80,,legato
105,1,G3,0.9,80,,legato
105,2,Bb3,0.4,80,,legato
105,2.5,Bb3,0.4,80,,legato
105,3,C4,1.9,80,,legato
106,1,G3,0.9,80,,legato
106,2,Bb3,0.9,80,,legato
106,3,F3,1.9,80,,legato
107,1,G3,0.9,80,,legato
107,2,Bb3,0.4,80,,legato
107,2.5,C4,0.25,80,,legato
107,3,C4,0.25,80,,legato
107,3.5,C4,0.9,80,,legato
107,4.5,Bb3,0.4,80,,legato
108,1,F3,2.9,80,,legato
108,4,F3,0.9,80,,legato
109,1,G3,0.9,80,,legato
109,2,Bb3,0.4,80,,legato
109,2.5,C4,0.4,80,,legato
109,3,G3,0.25,80,,legato
109,3.5,G3,0.4,80,,legato
109,4,C4,0.25,80,,legato
109,4.5,C4,0.4,80,,legato
110,1,Bb3,0.25,80,,legato
110,1.5,Bb3,0.4,80,,legato
110,2,C4,0.25,80,,legato
110,2.5,C4,0.4,80,,legato
110,3,Bb3,0.25,80,,legato
110,3.5,Bb3,0.4,80,,legato
110,4,G3,0.25,80,,legato
110,4.5,F3,0.4,80,,legato
